,Populations,r,pvalue
0,Africa-America,0.8302592058224746,1.209872711300902e-27
1,Africa-CentralAsiaSiberia,0.7263129794254476,2.6597938346369384e-18
2,Africa-EastAsia,0.8192576306753167,2.2171510117377868e-26
3,Africa-Oceania,0.8356061832725168,2.7271037467264575e-28
4,Africa-SouthAsia,0.8543029848894046,9.476107354537693e-31
5,Africa-WestEurasia,0.861996239252705,7.294463533393159e-32
6,America-CentralAsiaSiberia,0.8076018346783489,3.923444272983332e-25
7,America-EastAsia,0.7615662623357901,6.2877428673352376e-21
8,America-Oceania,0.8207011765328047,1.5311257165822748e-26
9,America-SouthAsia,0.8575765774809256,3.2415167119022436e-31
10,America-WestEurasia,0.8486346532873661,5.714810969026761e-30
11,CentralAsiaSiberia-EastAsia,0.618758743021613,2.5588450629162117e-12
12,CentralAsiaSiberia-Oceania,0.8149189367961464,6.615361030311234e-26
13,CentralAsiaSiberia-SouthAsia,0.8070962958625497,4.424435941229243e-25
14,CentralAsiaSiberia-WestEurasia,0.8936913250294987,2.7676694850988606e-37
15,EastAsia-Oceania,0.8224358758605008,9.769652860096693e-27
16,EastAsia-SouthAsia,0.8036156463556088,1.0024445651232741e-24
17,EastAsia-WestEurasia,0.9286616561178869,9.89889754116549e-46
18,Oceania-SouthAsia,0.8158289743731699,5.272433294209606e-26
19,Oceania-WestEurasia,0.844338441355013,2.1257617508308997e-29
20,SouthAsia-WestEurasia,0.8449278962411189,1.7793638838912892e-29
