Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
DDX11L1,0.7167,0.9521,0.8913,1.0,0.0001,0.2801,1.0,1.0,1.0,1.0
WASH7P,0.5728,0.4554,0.6868,0.659,0.6609,0.8631,0.8937,0.6774,0.6374,0.9755
AL627309.1,0.3706,0.2808,0.6376,0.1332,1.0,0.6598,0.0138,0.3349,0.0527,0.1997
AL627309.3,0.6263,0.6072,0.8672,0.4538,0.0001,0.2827,0.0767,1.0,0.3554,0.4792
CICP27,0.9596,1.0,0.8715,0.0749,0.9283,0.9152,0.0674,0.8721,0.2031,0.0786
AL627309.6,0.771,0.9176,0.9031,0.7507,0.9976,0.6362,0.1924,0.7972,0.2924,0.2487
AL627309.7,0.9043,0.9798,0.9908,0.9751,0.9678,0.9973,0.8895,0.601,0.5194,0.9468
WASH9P,0.5752,0.4855,0.9716,0.2974,0.3368,0.6791,0.7297,0.4177,0.0978,0.3565
AP006222.1,0.9583,0.2055,0.3404,0.8309,0.2609,0.4174,0.9366,0.5326,0.1268,0.19
RPL23AP24,0.5292,0.5625,0.2688,1.0,0.0001,0.4335,0.0702,0.4475,1.0,0.9857
AL732372.2,0.1526,0.7582,0.4453,0.104,0.5511,0.6835,1.0,0.6516,0.3957,0.5901
AL669831.3,0.1708,0.0843,0.9479,0.0568,0.5836,0.2346,0.9436,0.2008,0.6765,0.1196
MTND1P23,0.0173,0.0524,0.0317,0.0198,0.09,0.1927,0.3223,0.7307,0.1745,0.4332
MTND2P28,0.8389,0.5694,0.8752,0.7743,0.0833,0.372,0.3225,0.1302,0.5121,0.7517
MTCO1P12,0.2902,0.3602,0.2524,0.1795,0.9436,0.0706,0.0169,0.6351,0.2936,0.362
AC114498.2,0.283,0.2878,0.2903,0.2853,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
MTCO2P12,0.0051,0.4228,0.0369,0.3695,0.0308,0.4514,0.1004,0.0998,0.3041,0.3567
MTATP8P1,0.2334,0.6926,0.1415,1.0,0.3187,0.1816,0.6489,0.6886,0.7879,0.4663
MTATP6P1,0.075,0.1849,0.1972,0.0775,0.6585,0.3574,0.9113,0.7947,0.6106,0.4314
MTCO3P12,0.7581,0.7617,0.3003,0.1542,0.6047,0.8482,0.2737,0.9652,0.1186,0.4217
CICP3,0.9794,0.5212,0.5657,0.3273,0.709,0.8299,0.9667,0.877,0.939,1.0
