,Populations,r,pvalue
0,Africa-America,0.8652477002659044,3.996848205630396e-28
1,Africa-CentralAsiaSiberia,0.8666790227043533,2.580001340475605e-28
2,Africa-EastAsia,0.8625796139724118,8.919188854261016e-28
3,Africa-Oceania,0.8956298839621231,1.0319565423819206e-32
4,Africa-SouthAsia,0.8400995932014407,4.212541271879173e-25
5,Africa-WestEurasia,0.898714956776807,2.950701475766578e-33
6,America-CentralAsiaSiberia,0.8632760252632107,7.2450779512473265e-28
7,America-EastAsia,0.8874276967864521,2.400612019044895e-31
8,America-Oceania,0.8813817132563916,2.096921481349408e-30
9,America-SouthAsia,0.9271973829793686,2.7022713808693462e-39
10,America-WestEurasia,0.9115074466557921,1.0284125388359985e-35
11,CentralAsiaSiberia-EastAsia,0.8104753605978514,3.779237926971375e-22
12,CentralAsiaSiberia-Oceania,0.8676522256942928,1.9103168354353863e-28
13,CentralAsiaSiberia-SouthAsia,0.8731927464769087,3.2948284617840347e-29
14,CentralAsiaSiberia-WestEurasia,0.8871285397726791,2.6800899004080683e-31
15,EastAsia-Oceania,0.8788036991977393,5.098887526963738e-30
16,EastAsia-SouthAsia,0.9148288380411492,2.0548545080987427e-36
17,EastAsia-WestEurasia,0.9468057108627326,4.167769582629225e-45
18,Oceania-SouthAsia,0.9270830119685685,2.8883060572693706e-39
19,Oceania-WestEurasia,0.9338932110702257,4.480427324973597e-41
20,SouthAsia-WestEurasia,0.8110907823264873,3.3222215651013767e-22
