,Populations,r,pvalue
0,Africa-America,0.823368891113939,4.401988155507292e-28
1,Africa-CentralAsiaSiberia,0.7156584517100278,2.240358481887478e-18
2,Africa-EastAsia,0.8137116937934371,5.782070286924553e-27
3,Africa-Oceania,0.8377488626051739,7.011275139580367e-30
4,Africa-SouthAsia,0.8401557382996782,3.370860990013405e-30
5,Africa-WestEurasia,0.8437458417422794,1.1051467577883732e-30
6,America-CentralAsiaSiberia,0.8096382550837412,1.6388721820535637e-26
7,America-EastAsia,0.7474948199075725,1.0005616220565241e-20
8,America-Oceania,0.8192674748936442,1.3390154607792575e-27
9,America-SouthAsia,0.8352132910825851,1.4972423617739344e-29
10,America-WestEurasia,0.83259316553872,3.2355953978374256e-29
11,CentralAsiaSiberia-EastAsia,0.5920991908273656,1.1934762431754072e-11
12,CentralAsiaSiberia-Oceania,0.8027171732566001,9.097066752204664e-26
13,CentralAsiaSiberia-SouthAsia,0.8084024871625047,2.2369870243145257e-26
14,CentralAsiaSiberia-WestEurasia,0.8927228857715163,7.776651302039236e-39
15,EastAsia-Oceania,0.80863322470967,2.111102055961138e-26
16,EastAsia-SouthAsia,0.7993996831851345,2.0198397188753704e-25
17,EastAsia-WestEurasia,0.9276533352682113,1.4000478910819985e-47
18,Oceania-SouthAsia,0.7845866762897423,5.977016126343175e-24
19,Oceania-WestEurasia,0.8249171042168512,2.8709052517323395e-28
20,SouthAsia-WestEurasia,0.8424825447643983,1.641435341148503e-30
