Name,Description,GSM1312724.Mbuti.rnaseqccounts,GSM1312719.Mbuti.rnaseqccounts,GSM1312732.Mozabite.rnaseqccounts,GSM1312722.Mbuti.rnaseqccounts,GSM1312731.Mozabite.rnaseqccounts,GSM1312730.Mozabite.rnaseqccounts,GSM1312725.Mbuti.rnaseqccounts,GSM1312729.Mozabite.rnaseqccounts,GSM1312728.Mozabite.rnaseqccounts,GSM1312723.Mbuti.rnaseqccounts,GSM1312720.Mbuti.rnaseqccounts,GSM1312727.Mozabite.rnaseqccounts,GSM1312726.Mozabite.rnaseqccounts,GSM1312721.Mbuti.rnaseqccounts
ENSG00000223972.5,DDX11L1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,WASH7P,0,63,17,12,7,11,6,42,10,70,9,18,6,12
ENSG00000278267.1,MIR6859-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243485.5,MIR1302-2HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,OR4G4P,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000240361.2,OR4G11P,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000186092.6,OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,AL627309.1,0,1,0,0,0,4,0,0,2,3,0,0,0,0
ENSG00000239945.1,AL627309.3,0,0,0,0,0,4,0,0,2,0,0,0,0,0
ENSG00000233750.3,CICP27,0,0,0,0,4,0,2,0,0,8,0,0,0,0
ENSG00000268903.1,AL627309.6,1,11,0,1,3,0,6,2,1,190,0,2,0,2
ENSG00000269981.1,AL627309.7,0,1,0,0,0,0,2,0,0,63,0,2,0,0
ENSG00000239906.1,AL627309.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000241860.6,AL627309.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000222623.1,RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,AL627309.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,FO538757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279457.4,WASH9P,4,39,7,5,4,1,0,43,9,35,1,14,2,2
ENSG00000273874.1,MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463.10,AP006222.1,4,0,2,2,2,3,2,14,2,10,0,0,0,4
ENSG00000236679.2,RPL23AP24,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ENSG00000236601.2,AL732372.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.12,AL732372.2,0,0,0,0,2,0,1,0,0,5,0,0,0,0
ENSG00000269732.1,WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.1,OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,CICP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,AL732372.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278757.1,RF00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10,AL669831.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000235146.2,AC114498.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,MTND1P23,4197,3658,12,7233,24,16,7311,6,11,7113,6685,8,2,6781
ENSG00000225630.1,MTND2P28,717,5252,1548,1006,785,985,1425,2577,541,10728,910,896,434,1709
ENSG00000237973.1,MTCO1P12,30109,71587,197,25345,271,348,327,517,172,1013,25975,154,110,234
ENSG00000278791.1,AC114498.2,13,39,0,12,0,0,0,0,0,0,27,0,0,0
ENSG00000229344.1,MTCO2P12,3,8,8,4,8,3,10,2,5,6,6,11,2,4
ENSG00000240409.1,MTATP8P1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
ENSG00000248527.1,MTATP6P1,3692,18456,4919,11114,3639,1963,7578,4584,2557,8829,6326,6286,1153,6884
ENSG00000198744.5,MTCO3P12,4,5,2,8,0,4,6,8,0,4,3,0,1,0
ENSG00000268663.1,WBP1LP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,CICP3,0,1,0,0,0,0,0,0,0,0,0,4,0,0
ENSG00000228327.3,AL669831.1,0,52,8,2,0,6,8,48,14,75,2,8,4,0
ENSG00000223181.1,RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,AL669831.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000237491.9,AL669831.5,13,38,39,41,16,25,25,13,60,62,18,6,9,6
ENSG00000285268.1,AL669831.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230092.7,AL669831.4,4,7,5,1,11,4,6,9,5,9,3,1,2,3
ENSG00000177757.2,FAM87B,1,7,4,1,0,0,2,6,6,5,4,0,0,0
ENSG00000228794.8,LINC01128,56,151,120,184,189,141,78,151,158,249,57,68,39,73
ENSG00000225880.5,LINC00115,4,18,29,20,13,5,9,18,26,91,22,10,6,6
ENSG00000230368.2,FAM41C,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000234711.1,TUBB8P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,AL669831.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,AL645608.6,0,0,0,4,0,0,0,0,0,2,0,0,0,0
ENSG00000230699.2,AL645608.2,0,9,11,5,2,0,0,8,5,14,0,0,0,1
ENSG00000241180.1,AL645608.4,0,2,2,1,0,0,0,2,2,2,1,0,0,1
ENSG00000223764.2,LINC02593,0,0,2,0,0,0,0,2,0,0,0,0,0,0
ENSG00000187634.12,SAMD11,22,397,37,71,76,46,43,457,70,491,134,90,44,73
ENSG00000188976.11,NOC2L,91,1094,305,308,296,224,263,1258,385,1767,528,683,185,399
ENSG00000187961.14,KLHL17,6,177,27,24,16,6,20,198,46,243,28,64,28,25
ENSG00000187583.10,PLEKHN1,0,46,6,4,3,4,0,24,9,47,5,6,2,4
ENSG00000187642.9,PERM1,4,33,5,6,3,2,4,11,7,20,1,2,0,4
ENSG00000272512.1,AL645608.7,0,12,0,0,0,0,0,10,4,2,0,0,0,0
ENSG00000188290.10,HES4,0,624,4,7,0,0,0,176,9,139,0,0,0,4
ENSG00000187608.9,ISG15,450,6828,2144,810,2296,977,463,9163,1788,3926,2361,4791,2699,5068
ENSG00000231702.2,AL645608.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000224969.1,AL645608.1,0,1,0,0,0,0,0,2,1,0,0,0,1,0
ENSG00000188157.15,AGRN,40,1386,355,271,200,98,136,1948,329,1820,72,594,207,249
ENSG00000242590.1,AL645608.5,7,130,30,29,6,3,14,209,53,130,9,56,30,21
ENSG00000217801.10,AL390719.1,36,322,240,166,239,95,54,236,198,299,25,187,64,18
ENSG00000273443.1,AL645608.8,0,20,1,1,0,1,1,12,1,8,2,12,0,0
ENSG00000237330.3,RNF223,0,0,2,0,0,0,0,4,0,9,0,0,0,4
ENSG00000131591.17,C1orf159,14,205,32,22,31,14,19,157,43,228,24,79,15,20
ENSG00000285812.1,AL390719.3,12,27,20,11,9,4,9,7,22,8,9,13,14,5
ENSG00000223823.1,LINC01342,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000207730.3,MIR200B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207607.3,MIR200A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198976.1,MIR429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272141.1,AL390719.2,0,0,0,0,0,2,0,2,0,7,0,0,0,2
ENSG00000205231.1,TTLL10-AS1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162571.13,TTLL10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186891.14,TNFRSF18,10,280,25,25,34,18,17,123,32,96,28,41,11,29
ENSG00000186827.11,TNFRSF4,6,185,12,10,8,1,16,174,2,99,4,24,8,9
ENSG00000078808.16,SDF4,161,2492,654,456,602,444,445,1997,589,2924,837,1314,321,748
ENSG00000176022.6,B3GALT6,88,809,122,78,172,102,145,513,96,916,132,360,98,137
ENSG00000184163.3,C1QTNF12,0,11,0,0,0,0,4,7,1,28,0,3,0,0
ENSG00000260179.1,AL162741.1,2,19,8,1,4,0,2,4,13,12,6,0,2,2
ENSG00000160087.20,UBE2J2,269,1273,363,383,504,293,272,1043,403,1340,598,698,327,510
ENSG00000230415.1,LINC01786,2,2,0,0,2,0,0,0,2,5,4,0,0,0
ENSG00000162572.20,SCNN1D,5,12,4,2,12,4,6,14,8,42,0,4,2,2
ENSG00000131584.19,ACAP3,22,337,76,68,32,43,37,392,88,559,81,84,43,69
ENSG00000278073.1,MIR6726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169972.12,PUSL1,60,241,64,70,93,67,56,170,78,454,113,109,53,87
ENSG00000127054.20,INTS11,225,1453,564,494,526,375,448,1226,633,2009,768,1046,336,761
ENSG00000283712.1,MIR6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,AL139287.1,3,21,14,17,26,12,8,11,18,19,26,6,3,1
ENSG00000224051.7,CPTP,46,908,92,74,88,82,78,636,58,1123,146,240,76,125
ENSG00000169962.5,TAS1R3,0,25,10,8,0,1,2,24,2,34,6,11,0,2
ENSG00000107404.20,DVL1,26,292,56,37,46,28,34,209,52,565,56,124,30,72
ENSG00000284372.1,MIR6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.16,MXRA8,2,39,2,6,0,4,0,14,4,19,4,4,0,1
ENSG00000175756.13,AURKAIP1,555,2810,636,727,832,372,700,1932,629,2706,1601,1562,618,1033
ENSG00000223663.2,NDUFB4P8,2,1,0,1,1,3,1,2,2,2,0,0,0,0
ENSG00000221978.12,CCNL2,186,1282,437,855,394,402,296,862,811,1468,346,537,135,272
ENSG00000224870.6,MRPL20-AS1,255,588,285,415,431,296,238,418,468,784,429,399,236,241
ENSG00000242485.6,MRPL20,1289,1553,1101,1620,2529,1329,1175,1575,1591,1958,2065,1576,810,1044
ENSG00000264293.2,RN7SL657P,0,14,4,16,0,2,3,1,20,12,2,4,3,1
ENSG00000272455.1,AL391244.2,13,88,41,32,59,40,34,63,51,85,19,30,16,14
ENSG00000235098.8,ANKRD65,0,116,0,14,2,0,0,6,2,146,0,4,2,8
ENSG00000225905.1,AL391244.1,0,2,0,0,0,0,0,1,0,2,0,0,0,0
ENSG00000205116.3,TMEM88B,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000225285.1,LINC01770,0,2,0,3,0,0,0,8,0,12,0,0,0,2
ENSG00000179403.12,VWA1,2,350,16,9,14,2,6,278,6,372,10,60,14,16
ENSG00000215915.9,ATAD3C,0,24,10,0,8,3,0,14,16,4,117,0,2,18
ENSG00000160072.19,ATAD3B,50,438,90,101,84,38,29,265,96,510,142,140,59,64
ENSG00000284740.1,AL645728.2,0,4,5,0,8,0,0,12,3,12,11,3,3,1
ENSG00000197785.13,ATAD3A,39,482,157,101,119,108,73,543,149,827,279,367,141,188
