Name,Description,GSM1312748.Yakut.rnaseqccounts,GSM1312745.Yakut.rnaseqccounts,GSM1312749.Yakut.rnaseqccounts,GSM1312744.Yakut.rnaseqccounts,GSM1312747.Yakut.rnaseqccounts,GSM1312746.Yakut.rnaseqccounts
ENSG00000223972.5,DDX11L1,0,0,0,0,0,0
ENSG00000227232.5,WASH7P,4,15,8,24,19,4
ENSG00000278267.1,MIR6859-1,0,0,0,0,0,0
ENSG00000243485.5,MIR1302-2HG,0,0,0,0,0,0
ENSG00000284332.1,MIR1302-2,0,0,0,0,0,0
ENSG00000237613.2,FAM138A,0,0,0,0,0,0
ENSG00000268020.3,OR4G4P,0,0,0,0,0,0
ENSG00000240361.2,OR4G11P,0,0,0,0,0,0
ENSG00000186092.6,OR4F5,0,0,0,0,0,0
ENSG00000238009.6,AL627309.1,0,0,0,0,0,0
ENSG00000239945.1,AL627309.3,0,0,0,0,0,0
ENSG00000233750.3,CICP27,0,0,6,0,0,0
ENSG00000268903.1,AL627309.6,0,9,4,0,21,0
ENSG00000269981.1,AL627309.7,0,7,3,0,2,0
ENSG00000239906.1,AL627309.2,0,0,0,0,0,0
ENSG00000241860.6,AL627309.5,0,0,0,0,0,0
ENSG00000222623.1,RNU6-1100P,0,0,0,0,0,0
ENSG00000241599.1,AL627309.4,0,0,0,0,0,0
ENSG00000279928.2,FO538757.1,0,0,0,0,0,0
ENSG00000279457.4,WASH9P,2,7,2,5,23,3
ENSG00000273874.1,MIR6859-2,0,0,0,0,0,0
ENSG00000228463.10,AP006222.1,0,2,0,2,2,0
ENSG00000236679.2,RPL23AP24,0,0,0,0,0,0
ENSG00000236601.2,AL732372.1,0,0,0,0,0,0
ENSG00000237094.12,AL732372.2,0,5,0,0,0,0
ENSG00000269732.1,WBP1LP7,0,0,0,0,0,0
ENSG00000284733.1,OR4F29,0,0,0,0,0,0
ENSG00000233653.3,CICP7,0,0,0,0,0,0
ENSG00000250575.1,AL732372.3,0,0,0,0,0,0
ENSG00000278757.1,RF00026,0,0,0,0,0,0
ENSG00000230021.10,AL669831.3,2,4,0,0,0,0
ENSG00000235146.2,AC114498.1,0,0,0,0,0,0
ENSG00000225972.1,MTND1P23,24,8,21,2,8,17
ENSG00000225630.1,MTND2P28,869,1294,1140,845,2538,480
ENSG00000237973.1,MTCO1P12,7056,193,262,360,466,250
ENSG00000278791.1,AC114498.2,0,0,0,0,0,0
ENSG00000229344.1,MTCO2P12,3,16,12,0,8,5
ENSG00000240409.1,MTATP8P1,0,2,0,0,2,0
ENSG00000248527.1,MTATP6P1,2830,2608,7475,1983,4426,2480
ENSG00000198744.5,MTCO3P12,3,9,3,0,5,2
ENSG00000268663.1,WBP1LP6,0,0,0,0,0,0
ENSG00000284662.1,OR4F16,0,0,0,0,0,0
ENSG00000229376.3,CICP3,0,6,0,0,0,0
ENSG00000228327.3,AL669831.1,2,60,6,20,42,2
ENSG00000223181.1,RNU6-1199P,0,0,0,0,0,0
ENSG00000229905.1,AL669831.2,0,0,0,0,0,2
ENSG00000237491.9,AL669831.5,7,25,16,10,45,38
ENSG00000285268.1,AL669831.7,0,0,0,0,0,0
ENSG00000230092.7,AL669831.4,6,2,2,2,1,5
ENSG00000177757.2,FAM87B,1,2,3,2,3,4
ENSG00000228794.8,LINC01128,85,116,105,90,123,128
ENSG00000225880.5,LINC00115,14,16,3,14,14,13
ENSG00000230368.2,FAM41C,0,0,0,0,0,2
ENSG00000234711.1,TUBB8P11,0,0,0,0,0,0
ENSG00000283040.1,AL669831.6,0,0,0,0,0,0
ENSG00000272438.1,AL645608.6,0,0,1,1,0,0
ENSG00000230699.2,AL645608.2,0,14,0,9,4,0
ENSG00000241180.1,AL645608.4,0,3,0,0,1,0
ENSG00000223764.2,LINC02593,0,0,0,1,1,0
ENSG00000187634.12,SAMD11,43,46,38,26,444,59
ENSG00000188976.11,NOC2L,210,644,300,273,1269,285
ENSG00000187961.14,KLHL17,8,120,21,64,161,26
ENSG00000187583.10,PLEKHN1,0,16,2,3,19,4
ENSG00000187642.9,PERM1,0,6,0,2,30,0
ENSG00000272512.1,AL645608.7,0,4,0,0,0,2
ENSG00000188290.10,HES4,2,33,0,0,12,3
ENSG00000187608.9,ISG15,597,1427,659,680,4941,1922
ENSG00000231702.2,AL645608.3,0,0,0,0,0,0
ENSG00000224969.1,AL645608.1,0,0,0,0,0,0
ENSG00000188157.15,AGRN,68,1570,144,714,591,192
ENSG00000242590.1,AL645608.5,2,59,15,36,71,32
ENSG00000217801.10,AL390719.1,78,184,102,136,172,123
ENSG00000273443.1,AL645608.8,3,15,3,8,2,1
ENSG00000237330.3,RNF223,0,1,0,0,0,0
ENSG00000131591.17,C1orf159,6,89,17,31,119,21
ENSG00000285812.1,AL390719.3,12,1,16,4,16,10
ENSG00000223823.1,LINC01342,0,0,0,0,0,0
ENSG00000207730.3,MIR200B,0,0,0,0,0,0
ENSG00000207607.3,MIR200A,0,0,0,0,0,0
ENSG00000198976.1,MIR429,0,0,0,0,0,0
ENSG00000272141.1,AL390719.2,0,2,2,2,4,0
ENSG00000205231.1,TTLL10-AS1,0,0,0,0,0,0
ENSG00000162571.13,TTLL10,0,0,0,0,2,0
ENSG00000186891.14,TNFRSF18,22,25,17,35,52,19
ENSG00000186827.11,TNFRSF4,2,47,5,7,40,5
ENSG00000078808.16,SDF4,442,1051,517,607,1675,445
ENSG00000176022.6,B3GALT6,122,114,120,50,575,199
ENSG00000184163.3,C1QTNF12,0,5,0,1,4,0
ENSG00000260179.1,AL162741.1,6,10,3,6,5,10
ENSG00000160087.20,UBE2J2,252,477,378,333,992,388
