Name,Description,GSM1312737.Pathan.rnaseqccounts,GSM1312738.Pathan.rnaseqccounts,GSM1312734.Pathan.rnaseqccounts,GSM1312733.Pathan.rnaseqccounts,GSM1312736.Pathan.rnaseqccounts,GSM1312739.Pathan.rnaseqccounts,GSM1312735.Pathan.rnaseqccounts
ENSG00000223972.5,DDX11L1,1,0,0,0,0,0,0
ENSG00000227232.5,WASH7P,30,2,10,12,0,14,44
ENSG00000278267.1,MIR6859-1,0,0,0,0,0,0,0
ENSG00000243485.5,MIR1302-2HG,0,0,0,0,0,0,0
ENSG00000284332.1,MIR1302-2,0,0,0,0,0,0,0
ENSG00000237613.2,FAM138A,0,0,0,0,0,0,0
ENSG00000268020.3,OR4G4P,0,0,0,0,0,0,0
ENSG00000240361.2,OR4G11P,0,0,0,0,0,0,2
ENSG00000186092.6,OR4F5,0,2,0,0,0,0,2
ENSG00000238009.6,AL627309.1,1,0,0,1,2,11,2
ENSG00000239945.1,AL627309.3,0,0,0,0,0,7,1
ENSG00000233750.3,CICP27,4,0,0,10,0,4,10
ENSG00000268903.1,AL627309.6,72,2,0,17,1,7,73
ENSG00000269981.1,AL627309.7,13,0,0,0,0,2,11
ENSG00000239906.1,AL627309.2,0,0,0,0,0,0,0
ENSG00000241860.6,AL627309.5,0,0,0,0,0,0,2
ENSG00000222623.1,RNU6-1100P,0,0,0,0,0,0,0
ENSG00000241599.1,AL627309.4,0,0,0,0,0,0,0
ENSG00000279928.2,FO538757.1,0,0,0,0,0,0,0
ENSG00000279457.4,WASH9P,26,4,8,29,10,10,51
ENSG00000273874.1,MIR6859-2,0,0,0,0,0,0,0
ENSG00000228463.10,AP006222.1,10,4,0,4,2,0,5
ENSG00000236679.2,RPL23AP24,0,0,0,0,0,0,1
ENSG00000236601.2,AL732372.1,0,0,0,0,0,0,0
ENSG00000237094.12,AL732372.2,0,0,0,4,2,1,9
ENSG00000269732.1,WBP1LP7,0,0,0,0,0,0,0
ENSG00000284733.1,OR4F29,0,0,0,0,0,0,0
ENSG00000233653.3,CICP7,0,0,0,0,0,0,0
ENSG00000250575.1,AL732372.3,0,0,0,0,0,0,0
ENSG00000278757.1,RF00026,0,0,0,0,0,0,0
ENSG00000230021.10,AL669831.3,1,0,0,0,2,1,0
ENSG00000235146.2,AC114498.1,0,0,0,0,0,0,0
ENSG00000225972.1,MTND1P23,14,8,6,8,10,6,6
ENSG00000225630.1,MTND2P28,4176,1521,793,2622,606,1907,12
ENSG00000237973.1,MTCO1P12,776,315,208,397,193,205,266
ENSG00000278791.1,AC114498.2,0,0,0,0,0,0,0
ENSG00000229344.1,MTCO2P12,8,5,5,2,9,2,0
ENSG00000240409.1,MTATP8P1,2,1,0,0,0,0,0
ENSG00000248527.1,MTATP6P1,6864,2290,1430,4566,3174,940,2159
ENSG00000198744.5,MTCO3P12,2,2,0,0,5,0,1
ENSG00000268663.1,WBP1LP6,0,0,0,0,0,0,0
ENSG00000284662.1,OR4F16,0,0,0,0,0,0,0
ENSG00000229376.3,CICP3,2,0,0,0,2,0,2
ENSG00000228327.3,AL669831.1,48,6,12,42,16,10,44
ENSG00000223181.1,RNU6-1199P,0,0,0,0,0,0,0
ENSG00000229905.1,AL669831.2,0,0,0,0,0,1,0
ENSG00000237491.9,AL669831.5,30,17,3,47,42,60,54
ENSG00000285268.1,AL669831.7,0,0,0,0,0,0,0
ENSG00000230092.7,AL669831.4,9,2,5,5,6,7,7
ENSG00000177757.2,FAM87B,4,0,2,2,6,8,11
ENSG00000228794.8,LINC01128,136,132,126,307,160,113,195
ENSG00000225880.5,LINC00115,31,18,12,39,16,22,40
ENSG00000230368.2,FAM41C,0,0,0,0,0,0,2
ENSG00000234711.1,TUBB8P11,0,0,0,0,0,0,0
ENSG00000283040.1,AL669831.6,0,0,0,0,0,0,0
ENSG00000272438.1,AL645608.6,1,0,0,0,0,0,1
ENSG00000230699.2,AL645608.2,2,0,9,2,6,0,7
ENSG00000241180.1,AL645608.4,0,0,0,2,2,0,3
ENSG00000223764.2,LINC02593,2,0,4,0,0,0,0
ENSG00000187634.12,SAMD11,444,41,53,744,40,36,300
ENSG00000188976.11,NOC2L,1464,164,268,1455,158,212,710
ENSG00000187961.14,KLHL17,278,30,28,238,37,28,251
ENSG00000187583.10,PLEKHN1,11,1,4,31,5,0,17
ENSG00000187642.9,PERM1,5,5,3,25,2,1,13
ENSG00000272512.1,AL645608.7,0,0,0,4,0,2,4
ENSG00000188290.10,HES4,89,2,4,124,1,0,13
ENSG00000187608.9,ISG15,10586,902,3164,21018,437,653,4927
ENSG00000231702.2,AL645608.3,0,0,0,0,0,0,0
ENSG00000224969.1,AL645608.1,0,0,0,4,0,0,0
ENSG00000188157.15,AGRN,1983,163,330,949,194,156,1156
ENSG00000242590.1,AL645608.5,161,16,54,170,33,12,117
ENSG00000217801.10,AL390719.1,195,147,67,209,138,119,168
ENSG00000273443.1,AL645608.8,18,3,2,17,1,6,8
ENSG00000237330.3,RNF223,1,0,2,24,0,0,10
ENSG00000131591.17,C1orf159,233,20,37,120,28,16,130
ENSG00000285812.1,AL390719.3,14,7,12,31,13,17,69
ENSG00000223823.1,LINC01342,0,0,0,0,0,0,0
ENSG00000207730.3,MIR200B,0,0,0,0,0,0,0
ENSG00000207607.3,MIR200A,0,0,0,0,0,0,0
ENSG00000198976.1,MIR429,0,0,0,0,0,0,0
ENSG00000272141.1,AL390719.2,4,2,4,13,0,2,9
ENSG00000205231.1,TTLL10-AS1,0,0,0,0,0,0,6
ENSG00000162571.13,TTLL10,0,0,0,0,0,0,2
ENSG00000186891.14,TNFRSF18,117,20,58,607,34,10,127
ENSG00000186827.11,TNFRSF4,131,9,4,67,18,6,14
ENSG00000078808.16,SDF4,2342,360,494,1640,313,455,1003
ENSG00000176022.6,B3GALT6,816,139,156,278,90,121,209
ENSG00000184163.3,C1QTNF12,23,2,1,21,2,0,21
ENSG00000260179.1,AL162741.1,20,6,8,35,4,16,16
ENSG00000160087.20,UBE2J2,1195,300,415,1233,256,278,719
ENSG00000230415.1,LINC01786,2,0,0,0,0,0,0
ENSG00000162572.20,SCNN1D,43,2,10,30,6,6,49
ENSG00000131584.19,ACAP3,595,44,121,462,66,67,334
ENSG00000278073.1,MIR6726,0,0,0,0,0,0,0
ENSG00000169972.12,PUSL1,303,38,86,275,48,66,177
ENSG00000127054.20,INTS11,1505,316,541,1595,372,455,897
ENSG00000283712.1,MIR6727,0,0,0,0,0,0,0
ENSG00000240731.1,AL139287.1,25,19,6,16,6,11,30
ENSG00000224051.7,CPTP,858,88,138,492,60,140,252
ENSG00000169962.5,TAS1R3,39,4,8,4,5,4,25
ENSG00000107404.20,DVL1,365,58,52,227,30,46,153
ENSG00000284372.1,MIR6808,0,0,0,0,0,0,0
ENSG00000162576.16,MXRA8,17,0,9,15,4,13,13
ENSG00000175756.13,AURKAIP1,2238,504,758,3569,351,369,1215
ENSG00000223663.2,NDUFB4P8,0,4,2,7,4,2,4
ENSG00000221978.12,CCNL2,1563,300,344,840,328,419,1150
ENSG00000224870.6,MRPL20-AS1,673,250,328,401,261,228,357
ENSG00000242485.6,MRPL20,1721,1109,1036,1654,854,720,1102
ENSG00000264293.2,RN7SL657P,11,7,10,15,6,7,12
ENSG00000272455.1,AL391244.2,92,57,20,37,77,17,91
ENSG00000235098.8,ANKRD65,29,6,0,14,2,0,3
ENSG00000225905.1,AL391244.1,0,0,0,0,0,0,0
ENSG00000205116.3,TMEM88B,0,0,0,2,0,0,2
ENSG00000225285.1,LINC01770,6,0,0,2,1,0,1
ENSG00000179403.12,VWA1,124,4,4,64,8,0,26
ENSG00000215915.9,ATAD3C,4,14,3,416,83,7,30
ENSG00000160072.19,ATAD3B,577,66,90,436,38,60,508
ENSG00000284740.1,AL645728.2,5,1,0,10,0,1,4
ENSG00000197785.13,ATAD3A,841,59,173,704,99,69,373
ENSG00000205090.9,TMEM240,3,0,0,2,0,0,4
ENSG00000160075.12,SSU72,2345,875,857,1820,603,641,1330
ENSG00000215014.5,AL645728.1,10,0,0,16,2,4,14
ENSG00000274481.1,AL691432.3,0,0,0,0,0,0,3
ENSG00000228594.4,FNDC10,82,6,6,40,8,8,7
ENSG00000272106.1,AL691432.2,74,48,32,72,32,40,36
ENSG00000197530.12,MIB2,543,16,61,462,57,25,273
