Gene_ID,LP6005441-DNA_H03,LP6005441-DNA_G07,LP6005441-DNA_B08,LP6005441-DNA_D10
ENSG00000000419.13_7,60.348019,33.715065,35.995514,16.463316
ENSG00000000457.14_9,8.193007,5.894459,4.859284,4.101832
ENSG00000000460.17_8,3.953664,1.449892,1.556671,1.455155
ENSG00000000938.13_9,117.183716,83.946495,64.135727,43.086201
ENSG00000001036.14_7,30.257196,14.023639,11.909749,10.600451
ENSG00000001084.13_13,6.24584,9.009931,3.571208,6.596135
ENSG00000001167.14_3,9.52153,17.609356,8.952225,7.944547
ENSG00000001460.18_10,0.793941,0.859359,0.532572,0.934598
ENSG00000001461.17_5,8.622272,8.757707,6.121329,7.144529
ENSG00000001497.18_7,24.276924,44.236122,17.44676,24.778284
ENSG00000001561.7_5,1.603923,2.318389,2.395685,1.077255
ENSG00000001629.10_6,25.030514,14.162434,11.505446,7.423624
ENSG00000001630.17_10,0.283132,45.484768,0.000974,28.960213
ENSG00000001631.16_10,21.036743,7.723378,6.301344,9.311707
ENSG00000002016.18_10,14.674696,3.91551,3.155127,8.052584
ENSG00000002330.14_10,13.82223,24.594204,20.612701,36.629223
ENSG00000002549.13_6,215.692856,136.019501,71.565292,68.438026
ENSG00000002586.20_9,59.485779,75.306328,38.873158,53.32658
ENSG00000002587.10_9,0.798758,0.118562,0.045808,0.033217
ENSG00000002822.16_9,7.599897,9.104866,10.314309,14.710213
ENSG00000002834.18_6,56.882744,153.963669,87.057396,54.53175
ENSG00000002919.15_4,40.976879,55.132912,42.456772,47.357204
ENSG00000003056.3,44.365253,94.319756,35.910404,36.108303
ENSG00000003147.19_11,3.789197,1.065442,0.514392,1.741096
ENSG00000003249.15_7,1.986834,5.124014,5.174426,8.698713
ENSG00000003393.16_10,3.197171,3.446803,1.640912,4.336299
ENSG00000003400.15_9,18.151279,3.091,5.467599,5.810132
ENSG00000003402.20_6,162.881561,78.652199,64.891983,156.384491
ENSG00000003509.16_8,16.631737,9.264564,11.121754,12.743337
ENSG00000003756.17_9,71.410126,33.414078,13.938359,43.563076
ENSG00000003987.14_6,1.389476,0.347235,0.84647,1.267822
ENSG00000004059.11_7,91.316017,104.758644,73.505898,83.618599
ENSG00000004139.14_7,2.750832,9.230562,1.637283,4.530087
ENSG00000004142.12_6,47.629318,75.027405,42.373806,48.185062
ENSG00000004399.13_9,1.191285,0.118999,0.347019,0.817643
ENSG00000004455.17_8,97.59127,111.35321,117.372284,76.087852
ENSG00000004468.13_7,13.58357,3.886262,11.429172,6.733005
ENSG00000004478.8_6,32.892845,55.131397,35.709663,25.4816
ENSG00000004487.17_7,37.951267,44.665714,22.342005,24.241692
ENSG00000004534.15_7,91.24884,72.085953,19.532488,50.323215
ENSG00000004660.15_7,1.688291,2.677305,0.546383,2.407252
ENSG00000004700.16_10,14.53511,18.007643,11.829073,7.827066
ENSG00000004766.17_6,2.803514,3.929123,7.643413,2.454419
ENSG00000004777.18_7,4.124707,4.368935,0.80806,8.67254
ENSG00000004779.10_6,108.643623,35.877281,102.677124,81.868851
ENSG00000004864.14_6,11.027567,6.630152,3.876984,7.687797
ENSG00000004866.22_10,16.257679,33.980209,18.865896,13.124389
ENSG00000004897.12_10,37.906624,15.506532,25.254215,12.355116
ENSG00000004961.15_5,13.394153,12.932387,14.879429,8.071788
ENSG00000004975.12_7,11.004557,19.606705,7.501921,12.743999
ENSG00000005007.13_6,11.366319,36.052914,6.624471,27.319717
ENSG00000005020.13_9,23.583193,7.696078,13.520365,11.574066
ENSG00000005022.6_5,330.365936,367.145538,220.747955,179.226791
ENSG00000005059.16_8,86.371689,21.043709,23.732449,27.093618
ENSG00000005075.15_4,28.786152,22.279509,17.709255,43.334209
ENSG00000005100.13_9,14.977484,17.156672,10.793836,14.302722
ENSG00000005156.12_10,4.006442,9.542056,7.272336,6.099594
ENSG00000005175.10_7,19.590353,8.269979,8.859104,10.470304
ENSG00000005187.12_6,5.90109,6.51123,0.722431,4.429474
ENSG00000005189.20_8,4.446485,3.868786,3.301837,2.796412
ENSG00000005194.15_8,22.055862,41.982361,24.207094,26.000597
ENSG00000005206.17_7,4.905414,8.713608,1.93358,20.915369
ENSG00000005238.20_5,2.025419,3.063649,0.694383,1.137731
ENSG00000005243.10_7,6.996234,3.554463,3.055594,2.0024
ENSG00000005302.19_10,53.922756,35.661942,37.038116,67.041779
ENSG00000005339.15_11,29.584908,15.785774,6.16489,19.151556
ENSG00000005379.17_10,1.114084,4.272464,1.526066,7.098111
ENSG00000005436.14_11,9.606637,6.036965,8.29059,6.744892
ENSG00000005448.17_7,51.87764,92.711235,39.064243,55.025665
ENSG00000005469.12_4,6.577208,1.850244,3.66605,3.525672
ENSG00000005471.19_11,2.188772,1.952014,0.374816,2.226137
