Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia
chr1,260453,261566,0.2025,0.00826,0.08376,0.51576,2e-05,0.00653,0.16112,0.03668,0.1666,0.22767,0.2044,0.04714,0.46687,0.01258,0.02045,0.32429,0.09181,0.11327,0.53687,0.51918,0.00817
chr1,261566,263205,0.24029,0.01503,0.07117,0.55574,0.00274,0.0,0.12363,0.03805,0.11757,0.19053,0.14435,0.02009,0.39865,0.00525,0.00769,0.24498,0.04857,0.05427,0.49563,0.39668,0.00132
chr1,294300,296493,0.02023,0.20179,5e-05,0.04178,0.06177,0.01081,0.13421,0.01014,0.00742,0.01367,0.00159,0.12351,0.07283,0.06435,0.14527,0.02346,0.03763,0.0079,0.0009,0.0129,0.02546
chr1,306618,307618,0.10362,0.03034,0.16297,0.20477,0.00899,0.0222,0.03931,0.00279,0.01505,0.07134,0.03002,0.06713,0.12629,0.00816,0.00027,0.00347,0.11747,0.06854,0.17086,0.08164,0.0041
chr1,307618,308618,0.1678,0.03397,0.19163,0.20999,0.01943,0.00905,0.07739,0.00076,0.00213,0.11476,0.09101,0.07922,0.10902,0.00383,0.00718,8e-05,0.12461,0.13084,0.15443,0.12149,0.00127
chr1,308618,311945,0.16932,0.05143,0.23825,0.24118,0.00298,0.00583,0.07763,0.01775,0.01647,0.1651,0.07803,0.11385,0.14976,0.03645,0.01442,0.00331,0.22061,0.16699,0.24353,0.12545,0.00087
chr1,311945,318846,0.10663,0.00682,0.2292,0.30107,0.00132,0.00142,0.08578,0.045,0.08622,0.11133,0.07433,0.17697,0.30623,0.01273,0.00933,0.00061,0.23109,0.21854,0.29087,0.20241,3e-05
chr1,318846,328816,0.00048,0.11157,0.05727,0.12655,0.05935,0.0593,0.13981,0.03977,0.15549,0.06907,0.0524,0.19512,0.40618,0.01172,0.00451,0.00086,0.16051,0.17182,0.30345,0.22228,0.00064
chr1,384084,385084,0.0888,0.0044,0.0,0.07072,0.00448,2e-05,0.06505,0.0849,0.33796,0.13117,0.06562,0.00417,0.11836,0.01761,0.00313,0.06892,0.0046,2e-05,0.04316,0.05741,0.00472
chr1,385084,387761,0.06949,0.29305,0.08073,0.0283,0.1049,0.05046,0.11545,0.00551,0.01225,0.01222,0.00116,0.07929,0.18037,0.06042,0.09679,0.02709,0.00145,0.00166,0.04083,0.01348,0.00598
chr1,636035,637514,0.28334,0.06609,0.19199,0.02399,0.09553,0.01418,0.08745,0.00592,0.15491,0.05179,0.146,0.04242,0.01054,0.00375,0.01449,0.08252,0.02359,0.11551,0.02443,0.0005,0.03529
chr1,1067340,1068463,0.0323,0.0059,0.00833,0.30818,8e-05,0.00295,0.01285,0.00119,0.14662,0.01559,0.00452,0.0017,0.24604,0.00193,3e-05,0.12826,0.00529,0.00115,0.21864,0.15537,0.00165
chr1,1068463,1069463,0.00451,0.01058,0.00163,0.23411,0.00048,0.00079,0.00165,0.00028,0.1865,0.00581,0.00464,0.00262,0.15047,0.01186,0.01031,0.16714,0.00304,0.00364,0.2075,0.17423,7e-05
