,Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia,Start_b,End_b,name2,Distance
0,chr1,384084,385084,0.0888,0.0044,0.0,0.07072,0.00448,0.00014,0.06505,0.0849,0.33796,0.13117,0.06231,0.00417,0.11836,0.01761,0.00245,0.06892,0.0046,0.00012,0.04316,0.05974,0.00565,372944,388041,NOC2L,0
1,chr1,385084,387761,0.06949,0.29305,0.08073,0.0283,0.1049,0.04928,0.11545,0.00551,0.01225,0.01222,0.00101,0.07929,0.18037,0.06042,0.09813,0.02709,0.00145,0.00187,0.04083,0.01295,0.00638,372944,388041,NOC2L,0
2,chr1,1093209,1095911,0.00409,0.0079,0.05548,0.20019,0.03704,0.0016,0.00027,0.02402,0.16339,0.01322,0.00026,0.02602,0.19038,0.013,0.00094,0.1269,0.00365,0.0224,0.16094,0.11641,0.012,1069727,1093474,CDK11B,0
3,chr1,1111010,1112728,0.00211,0.02894,0.01648,0.33847,0.00732,0.00654,0.01399,0.00551,0.27554,0.0016,0.00101,0.00148,0.18911,0.00434,0.00592,0.21532,0.00097,0.00187,0.21626,0.23396,8e-05,1093990,1127160,SLC35E2B,0
4,chr1,1422569,1425558,0.04019,0.12576,0.01107,0.0181,0.0258,0.00223,0.30101,0.08077,0.12209,0.11755,0.04346,0.06346,0.0526,0.0415,0.07883,0.00103,0.00308,0.00302,0.00044,0.00606,0.01141,1356363,1439129,CFAP74,0
5,chr1,7892742,7893742,0.00137,0.19214,0.00727,0.01754,0.09328,0.02221,0.20801,0.00181,0.01002,0.07232,0.00925,0.13184,0.13206,0.03691,0.0744,0.00262,0.04978,0.00447,0.03004,0.00014,0.02185,7885238,8350921,RERE,0
6,chr1,9324182,9327347,0.05682,0.22923,0.0404,0.04243,0.07367,0.01528,0.06505,0.0007,0.00112,0.00176,0.00789,0.08308,0.08355,0.04786,0.12111,2e-05,0.00532,0.00531,0.00555,0.00372,0.02067,9271708,9366883,CLSTN1,0
7,chr1,9327347,9329877,0.22364,0.07009,0.05624,0.0283,0.1049,0.01026,0.05634,0.05406,0.12012,0.01742,0.1588,0.0,0.01544,0.00997,0.02872,0.01273,0.01072,0.02922,0.04083,0.00148,0.07366,9271708,9366883,CLSTN1,0
8,chr1,9329877,9335553,0.36912,0.07009,0.05624,0.0283,0.12157,0.01026,0.18708,0.18967,0.25768,0.1022,0.32429,0.0,0.01544,0.01707,0.02872,0.01273,0.01857,0.02922,0.05211,0.00148,0.09137,9271708,9366883,CLSTN1,0
9,chr1,9335553,9337554,0.32437,0.04602,0.05624,0.0283,0.1049,0.01026,0.19059,0.15467,0.21888,0.09322,0.28069,0.00366,0.00412,0.02469,0.01096,0.01273,0.01072,0.02922,0.04083,0.00148,0.07366,9271708,9366883,CLSTN1,0
10,chr1,11464039,11465039,0.09234,0.03759,0.15044,0.07379,0.05481,0.0052,0.01638,0.01085,0.00148,0.00596,0.2069,0.05026,0.00807,0.00225,0.11228,0.02002,0.03638,0.25347,0.00164,0.17391,0.12877,11463706,11470544,KIAA2013,0
11,chr1,13552126,13554306,0.12591,0.01105,0.06293,0.04378,0.02633,0.01826,0.07327,0.29638,0.03902,0.04632,0.04345,0.11238,0.01107,0.00269,0.00062,0.18593,0.1559,0.13801,0.00257,0.00474,0.00065,13334971,14562121,KAZN,0
12,chr1,15285632,15288838,1e-05,0.1882,0.00049,0.01227,0.00822,0.00058,0.16372,0.00027,0.01132,0.00637,0.0006,0.17147,0.10472,0.12292,0.20274,0.00769,0.00473,0.00214,0.00044,0.01598,0.01293,15275742,15289413,FLJ37453,0
13,chr1,15435076,15438474,0.00113,0.18894,0.19991,0.19536,0.22126,0.25616,0.18167,0.16552,0.19945,0.198,0.19998,0.0001,0.00065,0.00056,0.00255,0.00113,0.00115,0.00418,0.0,0.00067,0.00091,15431181,15436062,TBC1D3P6,0
14,chr1,20849800,20858109,0.01654,0.11693,0.02114,0.02131,0.01135,0.0343,0.15195,0.0452,0.06522,0.03899,0.00305,0.03974,0.03982,0.05887,0.22214,2e-05,0.00185,0.08844,0.00147,0.09174,0.0718,20632858,21003574,EIF4G3,0
15,chr1,23142358,23143358,0.04355,0.10842,0.00904,0.04754,0.00069,0.00158,0.22634,0.02151,0.0,0.03899,0.03127,0.17373,0.24027,0.12489,0.06662,0.02359,0.00479,0.01433,0.04247,0.0347,0.00375,23137098,23146735,HNRNPR,0
16,chr1,23553938,23562939,0.03423,0.10898,0.01084,0.0003,0.00822,0.00045,0.2002,0.01411,0.04242,0.06073,0.02646,0.17926,0.10939,0.05908,0.08962,0.00731,0.03668,0.01346,0.01037,0.00114,0.00446,23541774,23613248,ELOA-AS1,0
17,chr1,23611435,23614415,0.03423,0.10898,0.01084,0.00255,0.00286,0.00364,0.2002,0.01411,0.06522,0.04965,0.03388,0.17926,0.07433,0.07801,0.06593,0.0243,0.0244,0.02294,0.0,0.00011,0.0001,23541774,23613248,ELOA-AS1,0
18,chr1,24595359,24599364,1e-05,0.06506,0.05354,0.0374,0.00286,0.02239,0.05624,0.07143,0.0561,0.00212,0.02134,0.20833,0.16226,0.04118,0.15749,0.0,0.07591,0.01087,0.05404,0.00687,0.04089,24584190,24679941,CLIC4,0
19,chr1,25109028,25114410,0.10908,0.01152,0.02519,0.09181,0.01853,0.0078,0.05838,0.04717,0.0029,0.21314,0.11975,0.00147,0.04197,0.05795,0.0303,0.03181,0.09148,0.05593,0.19328,0.10879,0.00127,25078516,25174458,RSRP1,0
20,chr1,25119239,25122433,0.09564,0.0284,0.0618,0.13704,0.00521,0.02744,0.0572,0.02199,0.02738,0.17568,0.14675,0.00704,0.11616,0.07006,0.08812,0.05865,0.12311,0.15048,0.2375,0.1886,0.01127,25078516,25174458,RSRP1,0
21,chr1,25122433,25127063,0.05203,0.01637,0.04241,0.1128,0.00843,0.03644,0.02585,0.00551,0.0561,0.12115,0.11663,0.00704,0.11616,0.05824,0.08226,0.05865,0.10709,0.14229,0.21887,0.18069,0.01327,25078516,25174458,RSRP1,0
22,chr1,25137184,25138811,0.08624,0.01296,0.06617,0.15617,2e-05,0.01959,0.06505,0.00383,0.02648,0.09249,0.13443,0.02667,0.15746,0.01285,0.05553,0.03252,0.06681,0.14331,0.1687,0.20495,0.02106,25078516,25174458,RSRP1,0
23,chr1,25141053,25143674,0.0629,0.00129,0.00103,0.09583,0.02229,0.00847,0.11049,0.06774,0.00618,0.15728,0.08715,0.00561,0.1529,0.01434,0.00313,0.10638,0.03927,0.01712,0.20281,0.12289,0.00273,25078516,25174458,RSRP1,0
24,chr1,25152415,25156784,0.03366,0.00285,0.00464,0.06071,0.03993,0.07068,0.02903,0.02916,0.02738,0.15919,0.13408,7e-05,0.06553,0.06965,0.08608,0.06815,0.09085,0.1195,0.21887,0.17496,0.00922,25078516,25174458,RSRP1,0
25,chr1,25156784,25161621,0.13181,0.00176,0.04277,0.03437,0.01442,0.01852,0.15812,0.04551,0.07366,0.21196,0.14249,0.05679,0.05487,0.00528,0.00803,0.00071,0.10602,0.09292,0.099,0.06411,0.00141,25078516,25174458,RSRP1,0
26,chr1,25200751,25202475,0.06059,0.00667,0.00592,0.12466,0.01753,0.03366,0.05624,0.02099,0.0561,0.15015,0.12299,3e-05,0.16226,0.0517,0.05979,0.05642,0.03973,0.0614,0.24624,0.1886,0.00419,25198546,25257168,RHCE,0
27,chr1,25219727,25222680,0.03914,0.00901,0.00026,0.07551,0.06881,0.03046,0.09021,0.04952,0.00913,0.18117,0.10509,0.01586,0.13629,0.02805,0.00524,0.0959,0.0963,0.04401,0.23555,0.15489,0.00941,25198546,25257168,RHCE,0
28,chr1,25225639,25227832,0.13014,0.00299,0.07594,0.1172,0.00542,0.03252,0.19008,0.03682,0.00524,0.22359,0.19986,0.06779,0.15746,0.02026,0.05053,0.02109,0.143,0.18738,0.20524,0.19578,0.014,25198546,25257168,RHCE,0
29,chr1,25242373,25245879,0.11183,0.02403,0.07477,0.24512,0.0,0.01614,0.06579,0.00824,0.08131,0.11421,0.11373,0.01825,0.21382,0.02471,0.05329,0.09938,0.07478,0.11874,0.24755,0.2165,0.01515,25198546,25257168,RHCE,0
30,chr1,26362795,26367853,0.02013,0.08702,0.0307,0.00048,0.00026,0.00548,0.16424,0.00015,0.01908,0.02478,0.00478,0.20869,0.09452,0.07828,0.12829,0.0243,0.03668,0.00928,0.00141,0.00215,0.00799,26367712,26412979,RPS6KA1,0
31,chr1,26420878,26435717,0.00456,0.12722,0.01895,0.0089,4e-05,0.01568,0.07579,0.00454,0.02738,0.00381,0.03956,0.05256,0.13867,0.12209,0.2029,0.03194,0.01717,0.05664,0.01009,0.0,0.01738,26431196,26431500,RN7SL679P,0
32,chr1,28045529,28047212,0.00016,0.12348,0.00409,0.02415,0.00182,0.00749,0.1449,0.00219,0.02259,0.00077,0.00402,0.16333,0.26571,0.15505,0.15349,0.00881,0.00045,0.00062,0.01362,0.00399,0.00201,28041285,28047180,DNAJC8,0
33,chr1,28239429,28248110,0.04897,0.05636,0.00116,0.0046,0.02918,0.00548,0.22228,0.06238,0.02718,0.15169,0.01518,0.04138,0.10123,0.00628,0.06921,0.00991,0.01869,0.01135,0.05679,6e-05,0.04957,28211414,28301193,PHACTR4,0
34,chr1,28395292,28403244,0.00813,0.21134,0.01291,0.0089,4e-05,0.00147,0.2002,0.0,0.0,0.00923,0.00305,0.26882,0.21296,0.20446,0.25521,0.0,0.01444,0.00539,0.01009,0.0034,0.00196,28395039,28420501,TRNAU1AP,0
