,chr,start,end,WestEurasia-SouthAsia,WestEurasia-Africa,WestEurasia-CentralAsiaSiberia,WestEurasia-Oceania,WestEurasia-America,WestEurasia-EastAsia,SouthAsia-Africa,SouthAsia-CentralAsiaSiberia,SouthAsia-Oceania,SouthAsia-America,SouthAsia-EastAsia,Africa-CentralAsiaSiberia,Africa-Oceania,Africa-America,Africa-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-America,CentralAsiaSiberia-EastAsia,Oceania-America,Oceania-EastAsia,America-EastAsia,i
36,1,8359739,8364181,0.0,0.0,0.24315,0.0,0.39153,0.0,0.0,0.21121,0.0,0.35268,0.0,0.21795,0.0,0.3612,0.0,0.18161,0.05147,0.22035,0.313,0.0,0.3642,36.0
37,1,9845436,9863387,0.07945,0.01864,0.02141,0.01143,0.26365,0.03671,0.11468,0.03692,0.05587,0.08383,0.02171,0.06062,0.04167,0.32252,0.06674,0.0246,0.17789,0.0167,0.21695,0.02725,0.13876,37.0
49,1,13725296,13733660,0.02354,0.09123,0.1727,0.02803,0.02789,0.06315,0.04125,0.12866,0.09048,0.08923,0.02374,0.07097,0.23619,0.23093,0.01584,0.35185,0.34632,0.09341,0.02175,0.17861,0.17451,49.0
51,1,14436060,14439381,0.00894,0.01929,0.00993,0.01104,0.0275,0.11985,0.02528,0.01516,0.01763,0.03587,0.13389,0.02591,0.01977,0.07347,0.0689,0.0212,0.04302,0.12929,0.05971,0.10741,0.22469,51.0
55,1,16148564,16154830,0.00921,0.08575,0.14497,0.04836,0.03506,0.13211,0.10642,0.20211,0.05781,0.05542,0.16127,0.03351,0.23843,0.02551,0.01736,0.4045,0.08633,0.01823,0.18424,0.31536,0.04744,55.0
80,1,24519544,24525820,0.0192,0.16526,0.03247,0.18613,0.12966,0.02053,0.14611,0.01975,0.32022,0.13841,0.05847,0.11818,0.65635,0.02273,0.27879,0.38811,0.13167,0.08405,0.63648,0.14109,0.23563,80.0
105,1,33191170,33199640,0.0153,0.02889,0.0246,0.02368,0.08203,0.00926,0.06829,0.05898,0.05679,0.0558,0.02542,0.0,0.0,0.20886,0.03538,0.0,0.18528,0.03212,0.17905,0.03137,0.11817,105.0
175,1,62112538,62120128,0.02861,0.02562,0.08042,0.02762,0.23412,0.01835,0.01218,0.20236,0.10456,0.42656,0.07194,0.18278,0.09082,0.39356,0.06508,0.03745,0.08841,0.04574,0.16421,0.01623,0.18201,175.0
176,1,62620869,62625863,0.02695,0.07226,0.01001,0.06719,0.08813,0.07525,0.03906,0.04244,0.0569,0.22045,0.041,0.11732,0.02273,0.35096,0.01115,0.13566,0.11176,0.12137,0.35439,0.02174,0.35764,176.0
177,1,62642084,62656768,0.02849,0.0106,0.33042,0.44138,0.31196,0.23015,0.0428,0.1983,0.30302,0.18657,0.12031,0.35576,0.46692,0.34804,0.22823,0.04278,0.02052,0.02091,0.04725,0.06357,0.0199,177.0
201,1,72767498,72812601,0.01076,0.19433,0.0524,0.07089,0.03561,0.08444,0.16371,0.10069,0.13231,0.06761,0.14224,0.28937,0.30235,0.23885,0.36277,0.03392,0.02188,0.01884,0.03535,0.01637,0.02295,201.0
221,1,78648623,78666578,0.00894,0.06919,0.01929,0.0169,0.24407,0.04974,0.06576,0.02954,0.0266,0.267,0.0682,0.11416,0.10337,0.09219,0.19405,0.01987,0.37237,0.02941,0.3556,0.03435,0.48537,221.0
226,1,80219477,80225682,0.0308,0.10439,0.02745,0.16462,0.15461,0.01514,0.03861,0.09309,0.09751,0.29578,0.06501,0.19094,0.03288,0.41053,0.16062,0.31803,0.15129,0.01792,0.60725,0.25243,0.15399,226.0
256,1,94287680,94291451,0.0196,0.15745,0.05342,0.02793,0.05892,0.10071,0.27107,0.0318,0.01801,0.03958,0.05748,0.38327,0.3055,0.40737,0.4503,0.02638,0.02114,0.02021,0.03374,0.03942,0.01753,256.0
280,1,106012173,106025243,0.00913,0.01857,0.01128,0.23882,0.01647,0.05085,0.01919,0.0157,0.28939,0.02676,0.04851,0.01751,0.21885,0.04658,0.02286,0.29884,0.03646,0.04019,0.40519,0.15349,0.09016,280.0
297,1,108729310,108737787,0.09572,0.08797,0.01016,0.05126,0.18374,0.04824,0.3433,0.11505,0.02207,0.05808,0.02475,0.09591,0.28019,0.50669,0.25098,0.07985,0.25789,0.05911,0.10339,0.01524,0.10395,297.0
299,1,109573089,109580939,0.00939,0.10978,0.03416,0.02296,0.02748,0.01671,0.11038,0.037,0.03666,0.04403,0.01653,0.03911,0.19531,0.21935,0.07487,0.09695,0.11324,0.02079,0.02212,0.05687,0.06691,299.0
302,1,110215300,110257943,0.06568,0.17646,0.01011,0.03282,0.023,0.00842,0.04302,0.07135,0.13054,0.02751,0.0685,0.16191,0.22606,0.08262,0.17021,0.04743,0.03935,0.01373,0.09413,0.03656,0.02972,302.0
307,1,111376102,111389927,0.01044,0.08588,0.03284,0.05051,0.04823,0.0499,0.06744,0.06053,0.09156,0.0883,0.08317,0.16451,0.19233,0.18453,0.21638,0.03704,0.03704,0.01567,0.0,0.02174,0.02174,307.0
313,1,112690871,112707656,0.09794,0.16152,0.02187,0.04404,0.13667,0.01021,0.46191,0.05295,0.02664,0.03426,0.08754,0.28697,0.36473,0.52878,0.22046,0.02774,0.11397,0.01967,0.07429,0.04081,0.14343,313.0
331,1,142782992,142966207,0.03563,0.00858,0.02261,0.09507,0.05036,0.17558,0.03942,0.08433,0.039,0.1342,0.27417,0.0337,0.11573,0.07648,0.21169,0.17688,0.03194,0.10346,0.24352,0.36368,0.05495,331.0
337,1,144452805,144456917,0.02035,0.02088,0.09717,0.01607,0.01499,0.00902,0.01355,0.23675,0.06196,0.05796,0.03383,0.09653,0.03544,0.03365,0.02681,0.09244,0.09758,0.11279,0.02182,0.01818,0.01752,337.0
341,1,144488959,144522495,0.02146,0.11142,0.01017,0.07039,0.06186,0.00853,0.17943,0.03082,0.05715,0.04921,0.0298,0.08695,0.26155,0.24433,0.10678,0.10112,0.09187,0.01372,0.02412,0.10336,0.092,341.0
