"chr","start","end","genes","WestEurasia.SouthAsia","WestEurasia.Africa","WestEurasia.CentralAsiaSiberia","WestEurasia.Oceania","WestEurasia.America","WestEurasia.EastAsia","SouthAsia.Africa","SouthAsia.CentralAsiaSiberia","SouthAsia.Oceania","SouthAsia.America","SouthAsia.EastAsia","Africa.CentralAsiaSiberia","Africa.Oceania","Africa.America","Africa.EastAsia","CentralAsiaSiberia.Oceania","CentralAsiaSiberia.America","CentralAsiaSiberia.EastAsia","Oceania.America","Oceania.EastAsia","America.EastAsia"
"1",108729310,108737787,"SLC25A24",NA,NA,NA,NA,NA,NA,0.3433,NA,NA,NA,NA,NA,0.28019,0.50669,0.25098,NA,0.25789,NA,NA,NA,NA
"1",109573089,109580939,"WDR47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21935,NA,NA,NA,NA,NA,NA,NA
"1",110215300,110257943,"GSTM1, GSTM2, GSTM5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22606,NA,NA,NA,NA,NA,NA,NA,NA
"1",13725296,13733660,"PRAMEF20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23619,0.23093,NA,0.35185,0.34632,NA,NA,NA,NA
"1",144452805,144456917,"NBPF20, NA",NA,NA,NA,NA,NA,NA,NA,0.23675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",144488959,144522495,"NBPF20, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26155,0.24433,NA,NA,NA,NA,NA,NA,NA
"1",144612537,144622084,"NBPF20, PFN1P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20018,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",144906613,144908385,"NBPF20, LOC653513, PDE4DIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21593,NA
"1",144908385,144910495,"NBPF20, LOC653513, PDE4DIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21593,NA
"1",144913569,144931782,"NBPF20, LOC653513, PDE4DIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21593,NA
"1",144932302,144948483,"NBPF20, LOC653513, PDE4DIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21593,NA
"1",146352157,146367582,"NBPF10, NBPF20, NBPF12, NA, NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24503,NA,NA,NA,0.22508,NA,NA,NA,NA,NA,NA,NA
"1",146367682,146373564,"NBPF10, NBPF20, NBPF12, NA, NA, NA",NA,NA,NA,NA,0.20337,NA,NA,NA,NA,0.25546,NA,NA,NA,0.23125,NA,NA,NA,NA,NA,NA,NA
"1",146374569,146466519,"NBPF10, NBPF20, NBPF12, NA, NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2173,NA,NA,NA,NA
"1",152759388,152771208,"LCE1D, LCE1E",NA,NA,NA,0.21093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",169216544,169254678,"NME7",NA,NA,NA,0.23212,0.20789,NA,NA,NA,0.21958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",174794556,174803623,"RABGAP1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24491,NA,NA,0.26401,NA,NA,NA,NA,NA,0.37064,NA,NA
"1",204380861,204383316,"PPP1R15B",NA,0.2387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",206280873,206290247,"RHEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",210722153,210725220,"HHAT",NA,NA,NA,0.20727,0.25678,0.23891,NA,NA,NA,NA,NA,NA,NA,0.23474,NA,NA,NA,NA,NA,NA,NA
"1",240392796,240395101,"FMN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23363,NA,NA,NA,0.30011,NA,NA,0.48717,NA,0.42674,NA,0.22375
"1",62112538,62120128,"MGC34796",NA,NA,NA,NA,0.23412,NA,NA,0.20236,NA,0.42656,NA,NA,NA,0.39356,NA,NA,NA,NA,NA,NA,NA
"1",62620869,62625863,"PATJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22045,NA,NA,NA,0.35096,NA,NA,NA,NA,0.35439,NA,0.35764
"1",62642084,62656768,"PATJ",NA,NA,0.33042,0.44138,0.31196,0.23015,NA,NA,0.30302,NA,NA,0.35576,0.46692,0.34804,0.22823,NA,NA,NA,NA,NA,NA
"1",85972347,86007029,"DDAH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30402,NA,NA,NA,NA
"1",94287680,94291451,"BCAR3",NA,NA,NA,NA,NA,NA,0.27107,NA,NA,NA,NA,0.38327,0.3055,0.40737,0.4503,NA,NA,NA,NA,NA,NA
"1",9845436,9863387,"CLSTN1",NA,NA,NA,NA,0.26365,NA,NA,NA,NA,NA,NA,NA,NA,0.32252,NA,NA,NA,NA,0.21695,NA,NA
"10",100686349,100704505,"HPSE2",NA,NA,NA,NA,NA,NA,0.26701,0.21764,NA,0.33898,NA,NA,NA,NA,NA,NA,NA,NA,0.2373,NA,NA
"10",114112573,114117130,"GUCY2GP",NA,NA,NA,NA,NA,NA,0.2552,NA,NA,NA,NA,NA,NA,NA,0.36675,NA,NA,NA,NA,NA,0.20272
"10",122225684,122232908,"PLPP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3639,0.30278,0.28688,0.38278,NA,NA,NA,NA,NA,NA
"10",132908928,132912996,"TCERG1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3893,NA,NA,NA,NA,NA,NA,0.3037,NA,0.2658,NA,0.33847
"10",24377071,24386659,"KIAA1217",NA,0.39617,0.21397,0.27826,0.3594,0.40611,0.23689,NA,NA,0.26362,0.24441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
