,index,Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia,i,Start_b,End_b,name2,Distance
0,3181,chr1,7884464,7898408,0.00137,0.19214,0.00663,0.00171,0.07493,0.0138,0.20801,0.0016,6e-05,0.05487,0.00475,0.11424,0.1299,0.04874,0.08173,0.00089,0.03247,0.00126,0.03888,0.00345,0.01988,3181.0,7885238,8350921,RERE,0
1,3260,chr1,9027078,9126952,0.11322,0.15759,0.04063,0.02407,0.00195,0.00094,0.36415,0.02171,0.03832,0.07012,0.0964,0.24823,0.24866,0.14259,0.09496,0.00176,0.01992,0.04695,0.00919,0.02439,0.00466,3260.0,9037427,9039811,AL928921.1,0
2,3269,chr1,9285874,9351410,0.23644,0.27229,0.04292,0.0051,0.0983,0.01985,0.0046,0.06521,0.16037,0.03046,0.10053,0.10146,0.18713,0.05719,0.14793,0.01534,0.00937,0.00508,0.04876,0.00374,0.02938,3269.0,9271708,9366883,CLSTN1,0
3,3287,chr1,9851641,9863898,0.0771,0.03935,0.05017,0.06475,0.02201,0.05433,0.21271,0.00672,0.00118,0.01645,0.00246,0.16132,0.19251,0.10305,0.14659,0.00258,0.00368,0.0006,0.01037,0.00052,0.00631,3287.0,9754141,9925202,MSTRG.42,0
4,3378,chr1,10800228,10824947,0.00743,0.15214,0.00315,0.01255,0.00222,0.00137,0.21723,0.01692,0.03826,0.00179,0.00219,0.10309,0.07756,0.1823,0.15476,0.00302,0.01003,0.00853,0.02387,0.01846,9e-05,3378.0,10648100,10804160,MSTRG.46,0
5,3529,chr1,13540072,13560134,0.12113,0.00238,0.05752,0.02463,0.00848,0.01509,0.1007,0.30809,0.04457,0.08362,0.04366,0.07902,0.01247,0.00153,0.00466,0.14412,0.11382,0.12058,0.0061,0.00122,0.0014,3529.0,13334971,14562121,KAZN,0
6,4046,chr1,21862100,21905692,0.02648,0.14751,0.01342,0.00014,0.00569,0.0001,0.24475,0.00243,0.04036,0.06432,0.01574,0.20546,0.1556,0.12885,0.12212,0.01579,0.03767,0.00959,0.00459,0.00034,0.00575,4046.0,21849313,21925101,CDC42,0
7,4125,chr1,22971643,23043984,0.02433,0.03987,0.00036,0.01261,0.07907,0.05606,0.13152,0.01852,0.00259,0.01454,0.00431,0.04644,0.10117,0.21134,0.15907,0.00863,0.06901,0.0487,0.02881,0.01267,0.00234,4125.0,22909690,22994526,LUZP1,0
8,4165,chr1,23995060,24037353,0.02196,0.13566,0.01334,0.36211,0.01263,0.0482,0.04775,0.00118,0.23495,0.00154,0.00478,0.06444,0.07519,0.06799,0.01568,0.24168,2e-05,0.01373,0.25523,0.11988,0.01389,4165.0,23991875,24024975,IFNLR1,0
9,4197,chr1,24534764,24608056,0.00412,0.03614,0.06333,0.00494,0.00593,0.00364,0.07319,0.03685,0.02262,0.02095,3e-05,0.20096,0.01618,0.01506,0.05732,0.11123,0.11574,0.03544,1e-05,0.01495,0.01902,4197.0,24543346,24556060,AL445648.1,0
