"chr","start","end","genes","WestEurasia.SouthAsia","WestEurasia.Africa","WestEurasia.CentralAsiaSiberia","WestEurasia.Oceania","WestEurasia.America","WestEurasia.EastAsia","SouthAsia.Africa","SouthAsia.CentralAsiaSiberia","SouthAsia.Oceania","SouthAsia.America","SouthAsia.EastAsia","Africa.CentralAsiaSiberia","Africa.Oceania","Africa.America","Africa.EastAsia","CentralAsiaSiberia.Oceania","CentralAsiaSiberia.America","CentralAsiaSiberia.EastAsia","Oceania.America","Oceania.EastAsia","America.EastAsia"
"1",100517299,100523294,"MFSD14A",0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",10067509,10076124,"RBP7",NA,0.03192,NA,NA,NA,NA,0.02419,NA,NA,NA,NA,0.01971,0.01833,0.01734,0.02624,NA,NA,NA,NA,NA,NA
"1",1009660,1015541,"RNF223",-0.00868,0.00113,0.01764,-0.00722,0.0428,-0.00845,-0.00257,0.02013,-0.01332,0.06212,-0.01175,-0.00567,-0.01392,0.02035,-0.0043,-0.00206,-0.00876,0.01326,0.03724,-0.01209,0.04396
"1",102395735,102403958,"OLFM3",0.00481,-0.00842,0.00373,0.00342,0.0032,0.00534,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"1",10272327,10278119,"KIF1B",NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,-0.01123,0,0,0,NA,NA,0,0,NA
"1",10282248,10326922,"KIF1B",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"1",1051484,1053875,"C1orf159",0.00425,-0.00094,-0.00089,-0.00573,-0.01108,-0.00815,0.03069,-0.01562,0.02463,0.0035,0.0072,0.01829,-0.01603,-0.01343,-0.00467,0.0136,-0.00442,-0.00048,-0.01962,-0.01033,-0.01636
"1",10630864,10650632,"PEX14",-0.00671,0,0,0,0,0.12435,0,0,0,0,0.07026,NA,NA,NA,0.10997,NA,NA,0.08569,NA,0.07997,0.07584
"1",107891259,107899854,"NTNG1",0.00383,0.00414,0.00016,0.00272,0.00255,-0.009,NA,0.02342,NA,NA,0,0.02451,NA,NA,0,0.01883,0.01799,-0.00233,NA,0,0
"1",108170862,108173352,"VAV3",0,0,0,0,0,-0.00846,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,0
"1",108401521,108405757,"VAV3",-0.00797,-0.00128,-0.00753,0.01049,-0.00995,-0.00084,0.00307,-0.00721,0.02104,-0.01712,0.00373,-0.01449,0,0.00061,-0.01136,0,-0.01104,-0.01408,0.02597,0,0.00131
"1",108462814,108467125,"VAV3",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",108729310,108737787,"SLC25A24",0.07939,0.07366,-0.01013,0.03109,0.16682,0.0321,0.32669,0.08728,-0.01024,0.02665,0.00124,0.06678,0.25524,0.48924,0.2341,0.04227,0.22657,0.03241,0.06279,-0.01408,0.07728
"1",108772235,108789505,"NBPF4",-0.00924,0.03156,0.02686,-0.00034,0.04235,-0.0087,0.02185,0.02019,-0.00548,0.03645,-0.01188,-0.01483,-0.0111,-0.01406,0.02055,-0.01479,-0.01962,0.018,-0.00932,-0.00586,0.0328
"1",109573089,109580939,"WDR47",-0.00859,0.09549,0.01469,0.00047,0.00521,0.00021,0.08799,0.00706,0.00377,0.01061,-0.0073,0.00918,0.16712,0.19107,0.05396,0.05966,0.07497,-0.00708,-0.02222,0.02696,0.03676
"1",110203009,110204989,"GSTM2, GSTM4",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",110215300,110257943,"GSTM1, GSTM2, GSTM5",0.04651,0.16038,-0.00961,0.01414,-0.00229,-0.00874,0.01951,0.04441,0.10521,-0.00476,0.04545,0.14016,0.20602,0.05536,0.15118,0.00883,-0.0031,-0.01321,0.0521,0.01023,-0.00252
"1",111030837,111032521,"CYMP",0,0.00749,0,0,0,0,0.0112,NA,NA,NA,NA,0.0091,0.00846,0.00799,0.01215,NA,NA,NA,NA,NA,NA
"1",111717289,111718954,"CEPT1",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",111827530,111851331,"CHIAP2, CHIA",0.00799,0.00862,0.00621,0.00569,0.00533,0.00886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",111928314,111934489,"PGBP",0.00481,0.00519,0.00374,0.00342,0.00321,0.00534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",113742303,113752401,"LOC643441",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",114298153,114300549,"PHTF1",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
