,chr,start,end,WestEurasia-SouthAsia,WestEurasia-Africa,WestEurasia-CentralAsiaSiberia,WestEurasia-Oceania,WestEurasia-America,WestEurasia-EastAsia,SouthAsia-Africa,SouthAsia-CentralAsiaSiberia,SouthAsia-Oceania,SouthAsia-America,SouthAsia-EastAsia,Africa-CentralAsiaSiberia,Africa-Oceania,Africa-America,Africa-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-America,CentralAsiaSiberia-EastAsia,Oceania-America,Oceania-EastAsia,America-EastAsia
0,1,228416,267160,0.00515,0.07196,0.1411,0.19841,0.07856,0.00792,0.06681,0.13595,0.20356,0.07341,0.01308,0.06914,0.27037,0.0066,0.07988,0.33951,0.06254,0.14903,0.27697,0.19048,0.08648
1,1,471226,471326,0.02771,0.06253,0.00371,0.03004,0.05145,0.00442,0.09023,0.03142,0.00233,0.07915,0.03213,0.05881,0.09256,0.01108,0.05811,0.03375,0.04774,0.00071,0.08148,0.03446,0.04703
2,1,712534,763301,0.03152,0.08061,0.04202,0.06141,0.08287,0.03291,0.11213,0.07354,0.09293,0.11439,0.00138,0.03859,0.01919,0.00227,0.11351,0.0194,0.04086,0.07492,0.02146,0.09432,0.11578
3,1,763301,763482,0.00958,0.0068,0.03044,0.0068,0.0068,0.02032,0.01638,0.02086,0.01638,0.01638,0.01074,0.03724,0.0,0.0,0.02712,0.03724,0.03724,0.01012,0.0,0.02712,0.02712
4,1,769541,787076,0.00557,0.00043,0.01014,0.01015,0.05082,0.00982,0.00514,0.00456,0.01572,0.04525,0.00425,0.0097,0.01058,0.05039,0.00939,0.02028,0.04068,0.00031,0.06097,0.01997,0.041
5,1,787076,787479,0.01572,0.0,0.02028,0.0,0.0,0.01997,0.01572,0.00456,0.01572,0.01572,0.00425,0.02028,0.0,0.0,0.01997,0.02028,0.02028,0.00031,0.0,0.01997,0.01997
6,1,795270,797682,0.00954,0.00262,0.01766,0.01928,0.02192,0.03085,0.01216,0.00812,0.00974,0.01238,0.02131,0.02028,0.0219,0.02454,0.03347,0.00162,0.00426,0.01318,0.00264,0.01157,0.00893
7,1,810543,811145,0.0082,0.028,0.01632,0.01285,0.00397,0.01604,0.0198,0.00812,0.00465,0.01216,0.00784,0.01168,0.01516,0.03197,0.01197,0.00347,0.02028,0.00028,0.01681,0.00319,0.02
8,1,811145,812525,0.00829,0.028,0.01632,0.00397,0.01873,0.01072,0.01971,0.00802,0.01226,0.01044,0.00243,0.01168,0.03197,0.00927,0.01728,0.02028,0.00242,0.0056,0.0227,0.01469,0.00801
9,1,895100,898155,0.08261,0.02446,0.02224,0.05775,0.06993,0.02,0.10707,0.10485,0.14036,0.15254,0.06261,0.00223,0.03328,0.04546,0.04446,0.03551,0.04769,0.04224,0.01218,0.07775,0.08993
10,1,1009660,1015541,0.00668,0.13381,0.24353,0.0797,0.34347,0.02064,0.12713,0.23685,0.07302,0.33679,0.01396,0.10972,0.05411,0.20966,0.11317,0.16383,0.09994,0.22289,0.26377,0.05905,0.32283
11,1,1051484,1053875,0.08142,0.09026,0.06678,0.10007,0.04256,0.01204,0.17168,0.01464,0.18149,0.12398,0.09346,0.15704,0.00981,0.0477,0.07822,0.16685,0.10934,0.07882,0.05751,0.08803,0.03052
12,1,1086514,1091066,0.01003,0.01003,0.01003,0.01003,0.01003,0.01003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,1242403,1245425,0.01072,0.00852,0.02526,0.07049,0.02526,0.02526,0.01924,0.03598,0.05978,0.03598,0.03598,0.01674,0.07902,0.01674,0.01674,0.09575,0.0,0.0,0.09575,0.09575,0.0
14,1,1918939,1925823,0.03915,0.0,0.0,0.0,0.0,0.0,0.03915,0.03915,0.03915,0.03915,0.03915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1,2401760,2404509,0.00884,0.00884,0.00884,0.00884,0.00884,0.00884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,2450341,2452574,0.0,0.0,0.0,0.0,0.0,0.05849,0.0,0.0,0.0,0.0,0.05849,0.0,0.0,0.0,0.05849,0.0,0.0,0.05849,0.0,0.05849,0.05849
17,1,2561403,2567166,0.0393,0.0,0.0,0.0,0.0,0.0,0.0393,0.0393,0.0393,0.0393,0.0393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,2797819,2799721,0.00933,0.00933,0.00933,0.00933,0.00933,0.00933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1,3670336,3671839,0.0,0.03334,0.0,0.0,0.0,0.0,0.03334,0.0,0.0,0.0,0.0,0.03334,0.03334,0.03334,0.03334,0.0,0.0,0.0,0.0,0.0,0.0
20,1,4120597,4131559,0.32036,0.45913,0.24682,0.56915,0.36668,0.20256,0.13877,0.07353,0.2488,0.04632,0.11779,0.21231,0.11002,0.09245,0.25657,0.32233,0.11986,0.04426,0.20247,0.36659,0.16412
21,1,4283974,4288752,0.00764,0.02778,0.00764,0.00764,0.00764,0.00764,0.03542,0.0,0.0,0.0,0.0,0.03542,0.03542,0.03542,0.03542,0.0,0.0,0.0,0.0,0.0,0.0
22,1,4559503,4565108,0.00789,0.00789,0.04934,0.00789,0.00789,0.00789,0.0,0.05724,0.0,0.0,0.0,0.05724,0.0,0.0,0.0,0.05724,0.05724,0.05724,0.0,0.0,0.0
23,1,4818825,4820791,0.00769,0.00769,0.00769,0.00769,0.00769,0.00769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,4933388,4938285,0.01312,0.01312,0.01312,0.01312,0.01312,0.01312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,5302032,5304937,0.00955,0.0611,0.00955,0.00955,0.00955,0.00955,0.07065,0.0,0.0,0.0,0.0,0.07065,0.07065,0.07065,0.07065,0.0,0.0,0.0,0.0,0.0,0.0
26,1,6437611,6447694,0.0081,0.02969,0.02969,0.02969,0.02969,0.00297,0.03778,0.03778,0.03778,0.03778,0.00513,0.0,0.0,0.0,0.03265,0.0,0.0,0.03265,0.0,0.03265,0.03265
27,1,6615850,6636630,0.00922,0.00922,0.00922,0.11713,0.00922,0.00922,0.0,0.0,0.12636,0.0,0.0,0.0,0.12636,0.0,0.0,0.12636,0.0,0.0,0.12636,0.12636,0.0
28,1,6761845,6764419,0.00922,0.02531,0.00922,0.00922,0.00922,0.00922,0.03453,0.0,0.0,0.0,0.0,0.03453,0.03453,0.03453,0.03453,0.0,0.0,0.0,0.0,0.0,0.0
29,1,7114300,7120829,0.02955,0.00792,0.00792,0.00792,0.00792,0.00792,0.03747,0.03747,0.03747,0.03747,0.03747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,7411095,7412470,0.00762,0.00762,0.00762,0.00762,0.00762,0.00762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,7569921,7571783,0.06945,0.08072,0.00424,0.17313,0.36145,0.13924,0.01127,0.07369,0.10369,0.292,0.20869,0.08496,0.09242,0.28073,0.21996,0.17738,0.36569,0.135,0.18832,0.31237,0.50069
32,1,7644026,7648980,0.00805,0.06055,0.00805,0.00805,0.00805,0.00805,0.0686,0.0,0.0,0.0,0.0,0.0686,0.0686,0.0686,0.0686,0.0,0.0,0.0,0.0,0.0,0.0
33,1,8181508,8192006,0.0,0.1682,0.0,0.0,0.0,0.0,0.1682,0.0,0.0,0.0,0.0,0.1682,0.1682,0.1682,0.1682,0.0,0.0,0.0,0.0,0.0,0.0
34,1,8203189,8212788,0.04214,0.04214,0.04214,0.04214,0.04214,0.04214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1,8246677,8251385,0.0,0.0339,0.0,0.0,0.0,0.0,0.0339,0.0,0.0,0.0,0.0,0.0339,0.0339,0.0339,0.0339,0.0,0.0,0.0,0.0,0.0,0.0
36,1,8359739,8364181,0.0,0.0,0.45741,0.0,0.73216,0.0,0.0,0.45741,0.0,0.73216,0.0,0.45741,0.0,0.73216,0.0,0.45741,0.27476,0.45741,0.73216,0.0,0.73216
37,1,9845436,9863387,0.22736,0.04065,0.07181,0.02113,0.59545,0.12244,0.26801,0.15555,0.20623,0.3681,0.10491,0.11246,0.06178,0.63611,0.1631,0.05068,0.52364,0.05063,0.57433,0.10132,0.47301
38,1,10067509,10076124,0.0,0.07368,0.0,0.0,0.0,0.0,0.07368,0.0,0.0,0.0,0.0,0.07368,0.07368,0.07368,0.07368,0.0,0.0,0.0,0.0,0.0,0.0
39,1,10254672,10261491,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1,10272327,10278119,0.0,0.01546,0.0,0.06356,0.0,0.0,0.01546,0.0,0.06356,0.0,0.0,0.01546,0.0481,0.01546,0.01546,0.06356,0.0,0.0,0.06356,0.06356,0.0
41,1,10282248,10326922,0.0,0.01546,0.0,0.0,0.0,0.0,0.01546,0.0,0.0,0.0,0.0,0.01546,0.01546,0.01546,0.01546,0.0,0.0,0.0,0.0,0.0,0.0
42,1,10630864,10650632,0.02973,0.00919,0.00919,0.00919,0.00919,0.31239,0.03892,0.03892,0.03892,0.03892,0.28266,0.0,0.0,0.0,0.32158,0.0,0.0,0.32158,0.0,0.32158,0.32158
43,1,11654793,11668348,0.00988,0.05783,0.00988,0.00988,0.00988,0.00988,0.06772,0.0,0.0,0.0,0.0,0.06772,0.06772,0.06772,0.06772,0.0,0.0,0.0,0.0,0.0,0.0
44,1,12128306,12136933,0.00988,0.00988,0.0933,0.00988,0.00988,0.00988,0.0,0.10318,0.0,0.0,0.0,0.10318,0.0,0.0,0.0,0.10318,0.10318,0.10318,0.0,0.0,0.0
45,1,12741617,12748553,0.00913,0.22835,0.00913,0.00913,0.00913,0.00913,0.23748,0.0,0.0,0.0,0.0,0.23748,0.23748,0.23748,0.23748,0.0,0.0,0.0,0.0,0.0,0.0
46,1,13503895,13504199,0.00367,0.00974,0.01745,0.05069,0.02967,0.00799,0.00608,0.01378,0.05436,0.026,0.00432,0.0077,0.06044,0.01992,0.00176,0.06814,0.01222,0.00946,0.08036,0.05868,0.02168
47,1,13504199,13508240,0.01989,0.01381,0.00611,0.00115,0.00657,0.01557,0.00608,0.01378,0.01874,0.02646,0.00432,0.0077,0.01266,0.02039,0.00176,0.00496,0.01268,0.00946,0.00773,0.01442,0.02215
48,1,13512627,13526732,0.02099,0.01059,0.00721,0.00225,0.00835,0.01639,0.0104,0.01378,0.01874,0.02934,0.0046,0.00339,0.00834,0.01894,0.0058,0.00496,0.01556,0.00918,0.0106,0.01414,0.02474
49,1,13725296,13733660,0.00999,0.02185,0.03811,0.01164,0.01189,0.01775,0.01187,0.02812,0.02163,0.02188,0.00776,0.01625,0.0335,0.03374,0.00411,0.04975,0.04999,0.02036,0.00025,0.02939,0.02964
50,1,13772276,13778250,0.0408,0.07254,0.06002,0.0405,0.05583,0.06651,0.03174,0.01922,0.0003,0.01503,0.02571,0.01252,0.03204,0.01671,0.00603,0.01952,0.00419,0.00649,0.01533,0.02601,0.01068
51,1,14436060,14439381,0.01618,0.17729,0.01056,0.05387,0.24621,0.57452,0.19347,0.00561,0.07005,0.23004,0.59069,0.18786,0.12342,0.4235,0.39722,0.06444,0.23565,0.58508,0.30009,0.52064,0.82073
52,1,14948818,14985994,0.00709,0.00709,0.00709,0.0559,0.00709,0.00709,0.0,0.0,0.06299,0.0,0.0,0.0,0.06299,0.0,0.0,0.06299,0.0,0.0,0.06299,0.06299,0.0
53,1,15274454,15280582,0.00931,0.0256,0.00931,0.00931,0.00931,0.00931,0.03492,0.0,0.0,0.0,0.0,0.03492,0.03492,0.03492,0.03492,0.0,0.0,0.0,0.0,0.0,0.0
