,CHR,START,END,SYMBOL,WestEurasia-Oceania,WestEurasia-America,WestEurasia-Africa,WestEurasia-EastAsia,WestEurasia-SouthAsia,WestEurasia-CentralAsiaSiberia,Oceania-America,Oceania-Africa,Oceania-EastAsia,Oceania-SouthAsia,Oceania-CentralAsiaSiberia,America-Africa,America-EastAsia,America-SouthAsia,America-CentralAsiaSiberia,Africa-EastAsia,Africa-SouthAsia,Africa-CentralAsiaSiberia,EastAsia-SouthAsia,EastAsia-CentralAsiaSiberia,SouthAsia-CentralAsiaSiberia
0,chr1,102061,111943,OR4F29,0.01834,0.03053,0.10689,0.05349,0.13989,0.04516,0.02785,0.17746,0.02773,0.10525,0.03332,0.22796,0.01875,0.08211,0.02384,0.25003,0.38865,0.27465,0.04123,0.0144,0.06735
1,chr1,1116984,1126261,SLC35E2B,0.21183,0.01088,0.00891,0.01308,0.0116,0.01197,0.25844,0.29166,0.22917,0.20802,0.2421,0.0164,0.01921,0.01913,0.0236,0.01708,0.01531,0.01743,0.01206,0.0142,0.01544
2,chr1,9337554,9350106,CLSTN1,0.02579,0.14029,0.00912,0.02263,0.03687,0.17267,0.08796,0.03897,0.01451,0.01721,0.0994,0.17695,0.08299,0.06437,0.02223,0.03014,0.04744,0.20013,0.01437,0.1029,0.0793
3,chr1,9852641,9861819,KIF1B,0.01044,0.01567,0.05117,0.00841,0.015,0.13504,0.02827,0.05897,0.01439,0.02416,0.1685,0.08528,0.02112,0.04083,0.21588,0.05627,0.02953,0.04461,0.01869,0.15482,0.10585
4,chr1,12549468,12564684,PRAMEF13,0.01143,0.14668,0.09757,0.01238,0.02034,0.04428,0.28729,0.16032,0.02207,0.02172,0.09058,0.04949,0.09442,0.16881,0.08743,0.05031,0.12673,0.0249,0.03249,0.02484,0.07591
5,chr1,16005667,16030322,LOC124905692,0.10461,0.06807,0.18363,0.01305,0.03652,0.01,0.02957,0.03032,0.14318,0.08472,0.21742,0.05046,0.10186,0.04606,0.15333,0.21633,0.1415,0.25445,0.06528,0.01845,0.0687
6,chr1,16158670,16202168,LOC124905692,0.10259,0.06305,0.18587,0.01095,0.03809,0.01018,0.03155,0.03211,0.13049,0.07919,0.20308,0.0571,0.08748,0.03861,0.13156,0.20682,0.14274,0.2533,0.05878,0.01799,0.06229
7,chr1,20849800,20858109,EIF4G3,0.09717,0.0137,0.04273,0.09402,0.08026,0.23034,0.08232,0.03415,0.01434,0.01704,0.06197,0.03266,0.05797,0.05556,0.16999,0.03116,0.02386,0.12992,0.01338,0.0545,0.07335
8,chr1,27312090,27323562,WASF2,0.0274,0.02287,0.01082,0.00849,0.0539,0.11749,0.09517,0.02439,0.03664,0.02103,0.06004,0.04412,0.02935,0.10744,0.20732,0.01464,0.04105,0.10248,0.06185,0.1357,0.03238
9,chr1,28239429,28248110,PHACTR4,0.01064,0.02687,0.01339,0.01589,0.05561,0.07563,0.0553,0.01789,0.01879,0.06427,0.10804,0.06456,0.0693,0.16632,0.23883,0.01184,0.04147,0.07023,0.03452,0.05978,0.02157
10,chr1,31987373,31995474,KPNA6,0.0243,0.01641,0.01011,0.01228,0.01751,0.20029,0.07857,0.04327,0.04545,0.05898,0.25926,0.01847,0.01558,0.01731,0.13427,0.01213,0.0158,0.17588,0.01286,0.15829,0.13835
11,chr1,32111658,32122624,LCK,0.0365,0.02602,0.01995,0.01385,0.05292,0.22777,0.02397,0.02007,0.02425,0.01738,0.12821,0.01748,0.01918,0.02184,0.15,0.0126,0.02408,0.16776,0.03148,0.18918,0.10048
12,chr1,42370308,42397192,CCDC30,0.01044,0.06597,0.00913,0.0113,0.02276,0.01005,0.11617,0.01662,0.01622,0.03406,0.02018,0.08644,0.1183,0.20353,0.1015,0.01802,0.04041,0.01486,0.01734,0.01813,0.04039
13,chr1,42370308,42397192,TMSB4XP1,0.01044,0.06597,0.00913,0.0113,0.02276,0.01005,0.11617,0.01662,0.01622,0.03406,0.02018,0.08644,0.1183,0.20353,0.1015,0.01802,0.04041,0.01486,0.01734,0.01813,0.04039
14,chr1,45060415,45071892,ZSWIM5,0.01031,0.01324,0.01291,0.00937,0.04235,0.24218,0.02696,0.01894,0.01538,0.04405,0.23446,0.02905,0.016,0.06088,0.26297,0.02099,0.02672,0.19895,0.05732,0.2781,0.11668
15,chr1,45712319,45720737,MAST2,0.02303,0.02661,0.01573,0.00842,0.01394,0.07528,0.10118,0.05928,0.02857,0.01919,0.04684,0.02056,0.03623,0.06322,0.20931,0.01984,0.03838,0.14742,0.01668,0.08912,0.06183
16,chr1,45838898,45860246,MAST2,0.02095,0.01259,0.00893,0.03687,0.00988,0.09334,0.02738,0.02606,0.01701,0.0237,0.2163,0.01774,0.02836,0.01765,0.16577,0.03777,0.01298,0.12537,0.03266,0.24021,0.13947
17,chr1,48186237,48204742,SPATA6,0.03678,0.02046,0.02432,0.06276,0.0917,0.01408,0.11661,0.10822,0.17865,0.03155,0.03394,0.01648,0.02836,0.1915,0.05679,0.02434,0.19787,0.05347,0.29089,0.10595,0.07487
18,chr1,48315692,48323823,SPATA6,0.01142,0.01261,0.02536,0.01402,0.01281,0.06715,0.03359,0.02853,0.01603,0.017,0.13949,0.06288,0.03494,0.03436,0.21463,0.01673,0.02007,0.0662,0.01208,0.08495,0.09982
19,chr1,48186237,48204742,PPP1R8P1,0.03678,0.02046,0.02432,0.06276,0.0917,0.01408,0.11661,0.10822,0.17865,0.03155,0.03394,0.01648,0.02836,0.1915,0.05679,0.02434,0.19787,0.05347,0.29089,0.10595,0.07487
20,chr1,48315692,48323823,LOC644462,0.01142,0.01261,0.02536,0.01402,0.01281,0.06715,0.03359,0.02853,0.01603,0.017,0.13949,0.06288,0.03494,0.03436,0.21463,0.01673,0.02007,0.0662,0.01208,0.08495,0.09982
21,chr1,52410832,52420534,TUT4,0.012,0.03727,0.01091,0.00933,0.01475,0.18119,0.08303,0.02547,0.02115,0.01789,0.22824,0.03636,0.0401,0.10226,0.08495,0.01183,0.03376,0.17245,0.02798,0.18535,0.27665
22,chr1,52410832,52420534,LOC105378723,0.012,0.03727,0.01091,0.00933,0.01475,0.18119,0.08303,0.02547,0.02115,0.01789,0.22824,0.03636,0.0401,0.10226,0.08495,0.01183,0.03376,0.17245,0.02798,0.18535,0.27665
23,chr1,54508909,54521159,ACOT11,0.0473,0.16298,0.0289,0.15378,0.01293,0.1198,0.14361,0.0212,0.06163,0.09854,0.4019,0.13698,0.02728,0.25481,0.54659,0.08798,0.05823,0.26938,0.2124,0.46478,0.11261
24,chr1,76802169,76814002,ST6GALNAC5,0.04857,0.1751,0.02703,0.10883,0.01228,0.14343,0.1138,0.02096,0.02478,0.08361,0.36314,0.12275,0.06011,0.23737,0.53625,0.04345,0.04744,0.25057,0.14565,0.42889,0.12637
