,chr,start,end,WestEurasia-SouthAsia,WestEurasia-Africa,WestEurasia-CentralAsiaSiberia,WestEurasia-Oceania,WestEurasia-America,WestEurasia-EastAsia,SouthAsia-Africa,SouthAsia-CentralAsiaSiberia,SouthAsia-Oceania,SouthAsia-America,SouthAsia-EastAsia,Africa-CentralAsiaSiberia,Africa-Oceania,Africa-America,Africa-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-America,CentralAsiaSiberia-EastAsia,Oceania-America,Oceania-EastAsia,America-EastAsia
0,1,228416,267160,0.00888,0.01589,0.03326,0.04202,0.01588,0.00841,0.01985,0.04667,0.05705,0.02284,0.01201,0.02353,0.09138,0.01521,0.02111,0.13688,0.02606,0.04539,0.0823,0.04721,0.02251
1,1,471226,471326,0.01656,0.08613,0.01001,0.01862,0.0442,0.00859,0.12591,0.02153,0.01591,0.07918,0.0215,0.05997,0.17269,0.04347,0.08381,0.02733,0.0427,0.0137,0.11817,0.02574,0.04746
2,1,712534,763301,0.01447,0.05338,0.02077,0.02643,0.04762,0.01282,0.09619,0.05302,0.05481,0.0995,0.01177,0.03036,0.01701,0.01521,0.06423,0.02219,0.04843,0.03433,0.02487,0.03913,0.05833
3,1,763301,763482,0.01353,0.01351,0.03442,0.01351,0.01351,0.02386,0.03401,0.02461,0.03169,0.03138,0.01505,0.06028,,,0.04361,0.05488,0.05409,0.01549,,0.03723,0.03637
4,1,769541,787076,0.01029,0.00848,0.01327,0.01619,0.03137,0.01214,0.01325,0.01577,0.03087,0.03068,0.01235,0.01718,0.02273,0.0338,0.01429,0.03704,0.03011,0.0137,0.04545,0.02941,0.02619
5,1,787076,787479,0.03454,,0.03704,,,0.03537,0.03288,0.01577,0.03087,0.0306,0.01235,0.03704,,,0.03261,0.03704,0.03704,0.0137,,0.02941,0.02899
6,1,795270,797682,0.01763,0.01351,0.02829,0.0318,0.03533,0.04097,0.02542,0.01717,0.01871,0.02061,0.02134,0.03704,0.04167,0.04545,0.043,0.01967,0.02079,0.01648,0.02188,0.01632,0.01583
7,1,810543,811145,0.01434,0.01899,0.02366,0.02234,0.01351,0.02288,0.01575,0.01717,0.01671,0.02549,0.0138,0.0151,0.01638,0.02273,0.01247,0.01995,0.03704,0.0137,0.04167,0.01457,0.02898
8,1,811145,812525,0.01448,0.01899,0.02366,0.01351,0.02832,0.01438,0.01571,0.01712,0.02564,0.01965,0.01195,0.0151,0.02273,0.01572,0.01389,0.03704,0.02054,0.01441,0.04545,0.02174,0.01608
9,1,895100,898155,0.02772,0.0095,0.01066,0.0144,0.0162,0.0092,0.04485,0.05954,0.0683,0.07536,0.03192,0.01409,0.0161,0.01763,0.01514,0.02137,0.02345,0.01758,0.0219,0.02442,0.02756
10,1,1009660,1015541,0.00887,0.01756,0.03523,0.01265,0.05813,0.00853,0.02168,0.04892,0.01875,0.089,0.01186,0.02193,0.01637,0.04604,0.01794,0.03761,0.03089,0.03854,0.0782,0.01585,0.06727
11,1,1051484,1053875,0.01914,0.01685,0.01532,0.01823,0.01195,0.00852,0.0531,0.01606,0.0623,0.04388,0.02952,0.04243,0.01478,0.017,0.01776,0.05387,0.03921,0.02405,0.02446,0.02169,0.0157
12,1,1086514,1091066,0.01351,0.01351,0.01351,0.01351,0.01351,0.01351,,,,,,,,,,,,,,,
13,1,1242403,1245425,0.00961,0.0093,0.01649,0.02815,0.01607,0.01777,0.01513,0.02564,0.0264,0.02564,0.02564,0.02273,0.0411,0.02273,0.02273,0.05635,,,0.05498,0.05972,
14,1,1918939,1925823,0.02564,,,,,,0.02564,0.02564,0.02564,0.02564,0.02564,,,,,,,,,,
15,1,2401760,2404509,0.01351,0.01351,0.01351,0.01351,0.01351,0.01351,,,,,,,,,,,,,,,
