,Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia,Start_b,End_b,name2,Distance
0,chr1,260453,261566,0.2025,0.00826,0.08376,0.51576,2e-05,0.00653,0.16112,0.03668,0.1666,0.22767,0.2044,0.04714,0.46687,0.01258,0.02045,0.32429,0.09181,0.11327,0.53687,0.51918,0.00817,254109,278561,LINC01128,0
1,chr1,261566,263205,0.24029,0.01503,0.07117,0.55574,0.00274,0.0,0.12363,0.03805,0.11757,0.19053,0.14435,0.02009,0.39865,0.00525,0.00769,0.24498,0.04857,0.05427,0.49563,0.39668,0.00132,254109,278561,LINC01128,0
2,chr1,294300,296493,0.02023,0.20179,5e-05,0.04178,0.06177,0.01081,0.13421,0.01014,0.00742,0.01367,0.00159,0.12351,0.07283,0.06435,0.14527,0.02346,0.03763,0.0079,0.0009,0.0129,0.02546,289199,295694,AL669831.7,0
3,chr1,306618,307618,0.10362,0.03034,0.16297,0.20477,0.00899,0.0222,0.03931,0.00279,0.01505,0.07134,0.03002,0.06713,0.12629,0.00816,0.00027,0.00347,0.11747,0.06854,0.17086,0.08164,0.0041,297044,306821,FAM41C,0
4,chr1,384084,385084,0.0888,0.0044,0.0,0.07072,0.00448,2e-05,0.06505,0.0849,0.33796,0.13117,0.06562,0.00417,0.11836,0.01761,0.00313,0.06892,0.0046,2e-05,0.04316,0.05741,0.00472,372944,388041,NOC2L,0
5,chr1,385084,387761,0.06949,0.29305,0.08073,0.0283,0.1049,0.05046,0.11545,0.00551,0.01225,0.01222,0.00116,0.07929,0.18037,0.06042,0.09679,0.02709,0.00145,0.00166,0.04083,0.01348,0.00598,372944,388041,NOC2L,0
6,chr1,1067340,1068463,0.0323,0.0059,0.00833,0.30818,8e-05,0.00295,0.01285,0.00119,0.14662,0.01559,0.00452,0.0017,0.24604,0.00193,3e-05,0.12826,0.00529,0.00115,0.21864,0.15537,0.00165,1066666,1067624,MMP23B,0
7,chr1,1068463,1069463,0.00451,0.01058,0.00163,0.23411,0.00048,0.00079,0.00165,0.00028,0.1865,0.00581,0.00464,0.00262,0.15047,0.01186,0.01031,0.16714,0.00304,0.00364,0.2075,0.17423,7e-05,1066676,1069155,MMP23B,0
8,chr1,1069463,1070463,0.02819,0.0009,0.00023,0.30479,0.0015,0.00076,0.02477,0.00907,0.38335,0.00567,0.00502,5e-05,0.31562,0.00024,4e-05,0.22636,0.00039,0.00015,0.23824,0.20766,5e-05,1068743,1069764,MMP23B,0
9,chr1,1070463,1071463,0.01067,0.00021,0.00169,0.20109,0.00034,0.00687,0.01141,0.00208,0.12353,0.00789,0.02105,0.00228,0.17858,3e-05,0.00356,0.13881,0.00242,0.01235,0.14709,0.19961,0.00253,1069727,1093474,CDK11B,0
10,chr1,1071463,1072463,0.02013,0.00266,0.01129,0.15948,0.00025,0.01102,0.04012,0.0005,0.21178,0.00652,4e-05,0.02133,0.12529,0.00276,0.01787,0.19656,0.00451,0.00014,0.12043,0.17348,0.00534,1069727,1093474,CDK11B,0
11,chr1,1075141,1076809,0.00118,0.01775,0.00445,0.20109,0.00189,0.0085,0.00646,0.00071,0.13826,6e-05,0.00924,0.00218,0.11594,0.00474,0.03141,0.12352,0.00041,0.01949,0.13579,0.18626,0.01365,1069727,1093474,CDK11B,0
12,chr1,1093209,1095911,0.00409,0.0079,0.05548,0.20019,0.03704,0.00139,0.00027,0.02402,0.16339,0.01322,0.00034,0.02602,0.19038,0.013,0.00111,0.1269,0.00365,0.02321,0.16094,0.11756,0.0126,1069727,1093474,CDK11B,0
13,chr1,1096911,1098272,0.00113,0.00247,0.00043,0.20629,4e-05,0.00115,0.00032,0.00023,0.19708,0.00046,0.00311,0.001,0.20204,0.00121,0.00526,0.2138,0.00012,0.00291,0.16573,0.18626,0.0013,1093786,1097064,FO704657.1,0
14,chr1,1108733,1110010,0.00331,0.02439,0.03293,0.26163,0.02708,0.01766,0.00674,0.011,0.18174,0.00884,0.00365,0.00162,0.15268,0.00093,7e-05,0.09984,6e-05,0.00248,0.09749,0.12552,0.00151,1093990,1127160,SLC35E2B,0
15,chr1,1110010,1111010,0.0,0.02152,0.00221,0.25663,0.00393,0.00062,0.01307,0.00126,0.18794,0.00252,0.00039,0.00392,0.16974,0.02947,0.01597,0.16297,0.00822,0.00395,0.23297,0.19998,0.00089,1093990,1127160,SLC35E2B,0
16,chr1,1111010,1112728,0.00211,0.02894,0.01648,0.33847,0.00732,0.00697,0.01399,0.00551,0.27554,0.0016,0.00116,0.00148,0.18911,0.00434,0.00556,0.21532,0.00097,0.00166,0.21626,0.23226,4e-05,1093990,1127160,SLC35E2B,0
17,chr1,1185492,1186492,0.00539,0.0039,3e-05,0.25663,0.00067,0.00282,0.0,0.00196,0.25668,0.0007,0.0,0.00186,0.22917,0.00064,0.0,0.18471,0.0003,0.00182,0.19199,0.18979,0.00059,1185649,1214447,NADK,0
18,chr1,1422569,1425558,0.04019,0.12576,0.01107,0.0181,0.0258,0.00277,0.30101,0.08077,0.12209,0.11755,0.04559,0.06346,0.0526,0.0415,0.07653,0.00103,0.00308,0.00245,0.00044,0.00536,0.01033,1356363,1439129,CFAP74,0
19,chr1,5176022,5180076,0.3003,0.05482,0.08582,0.15282,0.02601,0.00016,0.44389,0.03013,0.02634,0.33966,0.15622,0.17343,0.28031,0.00395,0.02596,0.00298,0.14619,0.07234,0.21304,0.09007,0.01375,5084102,5190718,AL365255.1,0
20,chr1,5188251,5193444,0.0574,0.02195,0.1221,0.22029,0.00096,0.00188,0.19803,0.0186,0.10636,0.08421,0.05969,0.2119,0.42888,0.01617,0.00803,0.00942,0.14645,0.14515,0.27545,0.20196,0.00023,5084102,5190718,AL365255.1,0
21,chr1,5953335,5954483,0.00042,0.07763,0.08707,0.02236,0.01725,0.00144,0.08873,0.08851,0.01709,0.01116,0.00016,5e-05,0.16855,0.19716,0.09735,0.17375,0.20897,0.11764,0.00285,0.01353,0.00847,5950416,5986586,ESPN,0
22,chr1,5954483,5955579,0.00015,0.10858,0.10828,0.02702,0.01169,0.00329,0.11799,0.10501,0.02367,0.00842,0.00143,0.00104,0.22354,0.22619,0.15582,0.2147,0.22166,0.16828,0.0082,0.01525,0.00292,5950416,5986586,ESPN,0
23,chr1,5955579,5956834,0.0056,0.1203,0.1118,0.0244,0.01967,0.01115,0.16691,0.1514,0.00709,0.00234,0.00042,0.00437,0.20399,0.255,0.17246,0.19715,0.25281,0.1823,0.00292,0.00394,0.00051,5950416,5986586,ESPN,0
24,chr1,5956834,5960186,0.00381,0.14443,0.09514,0.01207,0.00755,0.0041,0.11293,0.0571,0.03552,0.02579,0.01395,0.01763,0.23703,0.23926,0.18792,0.17215,0.17827,0.14646,0.00146,0.0025,0.00043,5950416,5986586,ESPN,0
25,chr1,5960186,5962731,0.02841,0.09444,0.06611,0.05067,0.0555,0.01813,0.17954,0.14793,0.00229,0.00047,0.00292,0.00872,0.22519,0.26983,0.16436,0.19595,0.24276,0.14893,0.00132,0.01146,0.00897,5950416,5986586,ESPN,0
26,chr1,5962731,5963731,1e-05,0.08719,0.11123,0.02342,0.02807,0.00572,0.07688,0.09333,0.02237,0.02599,0.00457,0.00044,0.16103,0.2135,0.13098,0.19857,0.27721,0.17543,0.00053,0.00866,0.00875,5950416,5986586,ESPN,0
27,chr1,5963731,5966621,0.01809,0.06592,0.06569,0.05203,0.05741,0.02122,0.13161,0.13295,0.00734,0.00567,5e-05,0.00154,0.20331,0.22387,0.13508,0.21346,0.24529,0.15541,0.00034,0.00865,0.00819,5950416,5986586,ESPN,0
28,chr1,5966621,5969452,0.00615,0.0797,0.07954,0.02043,0.05837,0.02058,0.14208,0.13971,0.00539,0.02748,0.00261,0.00228,0.1728,0.2883,0.17453,0.17736,0.31361,0.19832,0.00534,0.00047,0.01128,5950416,5986586,ESPN,0
29,chr1,5969452,5970641,0.00595,0.05754,0.0629,0.00986,0.02802,0.01304,0.10337,0.1029,0.00093,0.00558,0.00083,0.0002,0.09064,0.19789,0.10395,0.09562,0.21028,0.1258,0.00061,1e-05,0.00099,5950416,5986586,ESPN,0
30,chr1,5970641,5971798,0.00818,0.07831,0.09955,0.02035,0.06819,0.0204,0.10878,0.12545,0.00182,0.01919,0.00114,2e-05,0.1491,0.24078,0.13988,0.17244,0.2862,0.18464,0.01012,4e-05,0.0116,5950416,5986586,ESPN,0
31,chr1,5971798,5973003,0.00018,0.142,0.11399,0.02766,0.01755,0.00982,0.14445,0.10333,0.02201,0.01195,0.00508,0.00504,0.24582,0.26983,0.18754,0.20447,0.22729,0.17743,0.00418,0.00556,0.00059,5950416,5986586,ESPN,0
32,chr1,5973003,5974003,0.01454,0.06452,0.0537,0.04754,0.01817,0.00709,0.12939,0.11378,0.00798,0.00036,0.00296,0.00336,0.21433,0.18068,0.11505,0.20071,0.16751,0.11292,0.0176,0.02356,0.00259,5950416,5986586,ESPN,0
33,chr1,5974003,5975468,0.00071,0.14527,0.17998,0.02076,0.00737,0.00026,0.16455,0.18863,0.01429,0.00284,0.00015,2e-05,0.24006,0.2389,0.15458,0.27572,0.28674,0.20166,0.00673,0.01672,0.00499,5950416,5986586,ESPN,0
34,chr1,5975468,5976468,0.00849,0.08644,0.08463,0.03296,0.03375,0.00079,0.14411,0.13474,0.0085,0.00536,0.00404,0.00152,0.2028,0.24099,0.09611,0.19975,0.24566,0.10296,0.00123,0.02296,0.02311,5950416,5986586,ESPN,0
35,chr1,5976468,5977468,0.00405,0.03639,0.06425,0.03037,0.06074,0.04296,0.05961,0.09184,0.01021,0.02487,0.01238,0.001,0.14228,0.19661,0.14526,0.20837,0.28644,0.22602,0.00384,0.00032,0.00176,5950416,5986586,ESPN,0
36,chr1,5977468,5979953,0.00029,0.12528,0.12194,0.02609,0.0083,0.00163,0.13667,0.12241,0.02052,0.00462,0.00031,0.00302,0.22505,0.22252,0.15903,0.22091,0.22121,0.16792,0.00978,0.01796,0.00292,5950416,5986586,ESPN,0
37,chr1,5979953,5981065,2e-05,0.19419,0.10361,0.05408,0.00733,0.00045,0.24103,0.11655,0.0602,0.00827,0.00022,0.03922,0.31851,0.31233,0.17313,0.23384,0.1947,0.10397,0.03822,0.03858,0.00298,5950416,5986586,ESPN,0
