Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia
chr1,8360201,8364200,0.32161,0.19993,0.0,0.0,0.0,0.0,0.00956,0.3248,0.27061,0.31255,0.35407,0.20261,0.15949,0.19242,0.22806,0.0,0.0,0.0,0.0,0.0,0.0
chr1,9846201,9856800,0.27586,0.04239,0.04981,0.02736,0.09376,0.01025,0.12424,0.09716,0.19008,0.03445,0.1755,0.00196,0.01078,0.02217,0.00515,0.01737,0.01359,0.01518,0.04846,0.00032,0.05309
chr1,13219701,13781900,0.12209,0.03194,0.00035,0.01716,0.00461,0.0303,0.25941,0.11083,0.05879,0.10485,0.03283,0.03815,0.09418,0.06579,0.10016,0.01286,0.00234,0.02476,0.00593,0.00112,0.01313
chr1,16150401,16158200,0.00136,0.01265,0.02431,0.16701,0.07339,0.05665,0.0266,0.04137,0.16935,0.05396,0.0325,0.00097,0.2866,0.13966,0.0983,0.33966,0.18954,0.14828,0.02655,0.02751,0.00067
chr1,24377601,24592800,0.00769,0.11063,0.25742,0.66625,0.13524,0.14643,0.10092,0.20043,0.61746,0.11015,0.10468,0.06285,0.38182,0.00497,0.01769,0.14607,0.03831,0.01362,0.30917,0.20424,0.00607
chr1,62113301,62120300,0.36614,0.16221,0.04389,0.07613,0.00018,0.01609,0.06061,0.19349,0.13364,0.39091,0.21957,0.04532,0.01696,0.1771,0.07006,0.00591,0.05019,0.00525,0.08776,0.01804,0.01879
chr1,62622101,62624900,0.32773,0.08017,0.00258,0.00814,0.0136,0.04983,0.12431,0.37123,0.33293,0.26016,0.12687,0.11291,0.10526,0.03528,0.00062,0.00756,0.03158,0.06609,0.03698,0.05157,0.01998
chr1,62654201,62657400,0.29251,0.31846,0.20632,0.42452,0.02805,0.00107,0.00341,0.00085,0.02772,0.14319,0.26923,0.00717,0.01119,0.17826,0.30952,0.03315,0.10643,0.21758,0.26436,0.40895,0.02056
chr1,72755201,72813200,0.14884,0.08983,0.1886,0.20407,0.07712,0.15381,0.05135,0.00257,0.02424,0.04745,0.0101,0.04136,0.16537,0.00196,0.00761,0.04891,0.04727,0.00664,0.10883,0.04206,0.01639
chr1,78647101,78663000,0.08267,0.09108,0.1625,0.08061,0.05419,0.06149,0.33558,0.43635,0.31805,0.26502,0.25567,0.0162,0.0003,0.01444,0.00971,0.02084,0.05734,0.0423,0.01058,0.00686,5e-05
chr1,80214501,80241700,0.45009,0.18912,0.18609,0.01674,0.04086,0.10914,0.15183,0.1266,0.64736,0.26828,0.13153,0.00037,0.30558,0.05856,0.01038,0.267,0.05394,0.00892,0.09559,0.15529,0.01769
chr1,85974801,86016200,0.00074,0.19351,0.00378,0.03099,0.01608,0.02929,0.25727,0.00977,0.05007,0.02498,0.03079,0.18844,0.07075,0.10961,0.06397,0.0197,0.00643,0.01689,0.00346,5e-05,0.00266
chr1,94285701,94292900,0.4312,0.41269,0.44266,0.33411,0.28246,0.16996,6e-05,0.00254,0.00741,0.01684,0.02734,0.00188,0.00828,0.0188,0.0317,0.01751,0.03487,0.05728,0.00215,0.00954,0.00421
chr1,106010101,106024300,0.02604,0.02093,0.02359,0.13902,0.00014,0.00483,0.00091,0.08881,0.30465,0.02147,0.00689,0.08553,0.30942,0.01663,0.0041,0.05498,0.0256,0.04548,0.13991,0.13796,0.00309
