Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia
1,384084,385084,0.0888,0.0044,0.0,0.07072,0.00448,2e-05,0.06505,0.0849,0.33796,0.13117,0.06562,0.00417,0.11836,0.01761,0.00313,0.06892,0.0046,2e-05,0.04316,0.05741,0.00472
1,385084,387761,0.06949,0.29305,0.08073,0.0283,0.1049,0.05046,0.11545,0.00551,0.01225,0.01222,0.00116,0.07929,0.18037,0.06042,0.09679,0.02709,0.00145,0.00166,0.04083,0.01348,0.00598
1,636035,637514,0.28334,0.06609,0.19199,0.02399,0.09553,0.01418,0.08745,0.00592,0.15491,0.05179,0.146,0.04242,0.01054,0.00375,0.01449,0.08252,0.02359,0.11551,0.02443,0.0005,0.03529
1,1093209,1095911,0.00409,0.0079,0.05548,0.20019,0.03704,0.00139,0.00027,0.02402,0.16339,0.01322,0.00034,0.02602,0.19038,0.013,0.00111,0.1269,0.00365,0.02321,0.16094,0.11756,0.0126
1,1111010,1112728,0.00211,0.02894,0.01648,0.33847,0.00732,0.00697,0.01399,0.00551,0.27554,0.0016,0.00116,0.00148,0.18911,0.00434,0.00556,0.21532,0.00097,0.00166,0.21626,0.23226,4e-05
1,1116984,1126261,1e-05,0.00277,0.00618,0.30134,0.00269,0.0001,0.00237,0.00454,0.26248,0.00192,0.0001,0.00067,0.24693,6e-05,0.00184,0.23307,0.00024,0.00476,0.21103,0.21466,0.00244
1,1165907,1169249,0.02433,0.00305,0.00028,0.15678,0.0126,0.00012,0.01221,0.01337,0.28622,0.00138,0.0126,0.00098,0.2046,0.00352,0.00122,0.12718,0.00722,3e-05,0.20263,0.11213,0.00801
1,1422569,1425558,0.04019,0.12576,0.01107,0.0181,0.0258,0.00277,0.30101,0.08077,0.12209,0.11755,0.04559,0.06346,0.0526,0.0415,0.07653,0.00103,0.00308,0.00245,0.00044,0.00536,0.01033
1,4119209,4122578,0.00358,0.07555,0.00279,0.01831,0.13432,0.06021,0.13336,0.012,0.04322,0.21923,0.08505,0.05204,0.02944,0.02199,0.00387,0.00745,0.1027,0.03757,0.08546,0.00855,0.02573
1,7763684,7768673,0.05682,0.17037,0.03035,0.04243,0.00345,0.0361,0.03393,0.00299,0.00112,0.08651,0.00032,0.05996,0.04756,0.20446,0.03897,0.00056,0.0476,0.00126,0.068,0.00011,0.04986
