,Chromosome,Start,End,AFR-AMR,AFR-EAS,AFR-EUR,AFR-SAS,AMR-EAS,AMR-EUR,AMR-SAS,EAS-EUR,EAS-SAS,EUR-SAS
3,chr1,713327,714478,0.15396,0.21193,0.29407,0.18103,0.00526,0.08644,0.00468,0.06728,1e-05,0.05148
5,chr1,729842,914823,0.33836,0.14385,0.38596,0.37557,0.05861,0.00106,0.00011,0.05193,0.06,0.0006
11,chr1,1444487,1534886,0.22184,0.16136,0.33825,0.17075,0.01518,0.02553,0.00614,0.08516,0.0018,0.06136
21,chr1,2976522,2977705,0.17556,0.10969,0.09944,0.20829,0.02427,0.01501,0.00571,0.00059,0.05195,0.03731
22,chr1,3299144,3300425,0.29022,0.25884,0.08182,0.06764,0.00877,0.12221,0.15379,0.08257,0.11185,0.00248
40,chr1,7510013,7511457,0.03464,0.24902,0.07014,0.07056,0.13025,0.00934,0.00906,0.06776,0.074,1e-05
52,chr1,8951975,8957443,0.00906,0.04427,0.34994,0.03781,0.08442,0.40838,0.07598,0.20078,1e-05,0.188
68,chr1,10576551,10583990,8e-05,0.06455,0.23869,0.00388,0.05973,0.23311,0.00349,0.07538,0.03427,0.18326
83,chr1,13558066,13575934,0.01046,0.09145,0.25821,0.04825,0.03571,0.16674,0.01058,0.05943,0.01063,0.1348
88,chr1,15455637,15475223,0.06502,0.02905,0.01905,0.02815,0.02867,0.22751,0.0298,0.12866,0.00016,0.13118
89,chr1,15597391,15600811,0.12239,0.13691,0.0141,0.01835,0.00039,0.29112,0.07961,0.30968,0.09051,0.08134
92,chr1,15825448,15828929,0.14138,0.00033,0.21264,0.31299,0.12641,0.00757,0.0648,0.1989,0.29353,0.03246
100,chr1,16744583,16750785,0.09247,0.61644,0.19694,0.14948,0.30239,0.01899,0.00732,0.19705,0.22876,0.00271
103,chr1,17349677,17351170,0.3199,0.4266,0.18299,0.38829,0.03095,0.03063,0.00777,0.10383,0.00853,0.06767
118,chr1,21387475,21389149,0.02015,0.17448,0.00886,0.08134,0.06039,0.04522,0.01316,0.22503,0.02677,0.13997
127,chr1,23701864,23707281,0.00017,0.16685,0.10452,0.08464,0.20993,0.13483,0.10215,0.0211,0.04826,0.01004
133,chr1,24193856,24197172,0.03673,0.1587,0.22304,0.1024,0.07121,0.09622,0.02256,0.0001,0.02033,0.02416
