Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia
chr1,4119209,4123876,0.00358,0.07555,0.00279,0.01831,0.13432,0.06417,0.13336,0.012,0.04322,0.21923,0.08499,0.05204,0.02944,0.02199,0.00108,0.00745,0.1027,0.04197,0.08546,0.01125,0.01342
chr1,5373793,5375048,0.11646,0.15901,0.04903,0.00529,0.01122,0.00745,0.46901,0.02124,0.1089,0.18174,0.13137,0.31681,0.2643,0.0941,0.08024,0.02359,0.10044,0.08628,0.03249,0.02018,0.00023
chr1,7884464,7898408,0.00137,0.19214,0.00663,0.00171,0.07493,0.0138,0.20801,0.0016,6e-05,0.05487,0.00475,0.11424,0.1299,0.04874,0.08173,0.00089,0.03247,0.00126,0.03888,0.00345,0.01988
chr1,9027078,9126952,0.11322,0.15759,0.04063,0.02407,0.00195,0.00094,0.36415,0.02171,0.03832,0.07012,0.0964,0.24823,0.24866,0.14259,0.09496,0.00176,0.01992,0.04695,0.00919,0.02439,0.00466
chr1,9285874,9351410,0.23644,0.27229,0.04292,0.0051,0.0983,0.01985,0.0046,0.06521,0.16037,0.03046,0.10053,0.10146,0.18713,0.05719,0.14793,0.01534,0.00937,0.00508,0.04876,0.00374,0.02938
chr1,9851641,9863898,0.0771,0.03935,0.05017,0.06475,0.02201,0.05433,0.21271,0.00672,0.00118,0.01645,0.00246,0.16132,0.19251,0.10305,0.14659,0.00258,0.00368,0.0006,0.01037,0.00052,0.00631
chr1,10405860,10419407,0.07363,0.03778,0.00353,0.00068,0.01565,0.00236,0.2002,0.09053,0.08919,0.03899,0.03209,0.01799,0.04756,0.10099,0.04908,0.00648,0.03248,0.01113,0.00971,0.00043,0.00409
chr1,10450909,10474726,0.00105,0.17002,0.02321,0.00076,0.00011,0.01771,0.19059,0.01045,0.00358,0.00055,0.00666,0.26002,0.17719,0.18204,0.20986,0.0285,0.0202,0.00024,0.00143,0.02019,0.01493
chr1,10800228,10824947,0.00743,0.15214,0.00315,0.01255,0.00222,0.00137,0.21723,0.01692,0.03826,0.00179,0.00219,0.10309,0.07756,0.1823,0.15476,0.00302,0.01003,0.00853,0.02387,0.01846,9e-05
chr1,13540072,13560134,0.12113,0.00238,0.05752,0.02463,0.00848,0.01509,0.1007,0.30809,0.04457,0.08362,0.04366,0.07902,0.01247,0.00153,0.00466,0.14412,0.11382,0.12058,0.0061,0.00122,0.0014
chr1,21862100,21905692,0.02648,0.14751,0.01342,0.00014,0.00569,0.0001,0.24475,0.00243,0.04036,0.06432,0.01574,0.20546,0.1556,0.12885,0.12212,0.01579,0.03767,0.00959,0.00459,0.00034,0.00575
chr1,22204276,22213833,0.02129,0.05675,0.01287,0.01199,0.08428,0.00071,0.13867,0.00219,0.00224,0.02501,0.01118,0.12099,0.11663,0.26535,0.06261,2e-05,0.03681,0.00678,0.04156,0.00556,0.05587
chr1,22971643,23043984,0.02433,0.03987,0.00036,0.01261,0.07907,0.05606,0.13152,0.01852,0.00259,0.01454,0.00431,0.04644,0.10117,0.21134,0.15907,0.00863,0.06901,0.0487,0.02881,0.01267,0.00234
chr1,23995060,24037353,0.02196,0.13566,0.01334,0.36211,0.01263,0.0482,0.04775,0.00118,0.23495,0.00154,0.00478,0.06444,0.07519,0.06799,0.01568,0.24168,2e-05,0.01373,0.25523,0.11988,0.01389
chr1,24534764,24608056,0.00412,0.03614,0.06333,0.00494,0.00593,0.00364,0.07319,0.03685,0.02262,0.02095,3e-05,0.20096,0.01618,0.01506,0.05732,0.11123,0.11574,0.03544,1e-05,0.01495,0.01902
chr1,27391430,27413914,0.00181,0.09872,0.00406,0.03282,0.04467,0.00164,0.07319,0.00031,0.06498,0.0249,0.0058,0.06444,0.23961,0.00826,0.11931,0.0548,0.02389,0.01131,0.12343,0.01732,0.06425
chr1,28352237,28372498,0.01079,0.12137,0.01846,0.00636,0.02529,0.01193,0.17476,0.00035,0.00089,0.00226,4e-05,0.21189,0.16599,0.21762,0.18975,0.00244,0.00104,0.00082,0.00605,0.00045,0.00342
chr1,28379545,28403244,0.00056,0.11923,0.02131,0.00273,0.00022,0.01777,0.14379,0.01453,0.00746,9e-05,0.01063,0.20562,0.0956,0.12954,0.22682,0.03707,0.01741,0.00128,0.0046,0.03431,0.01364
chr1,30248280,30265839,0.02141,0.1299,0.2165,0.20191,0.25236,0.17928,0.20748,0.27455,0.30169,0.31578,0.20087,0.00916,0.0092,0.02226,0.00698,1e-05,0.00357,0.0,0.0029,1e-05,0.00299
chr1,30510137,30680406,0.2136,0.00078,0.00579,0.03732,0.00587,0.00825,0.22661,0.13501,0.12154,0.14316,0.09479,0.00909,0.04714,0.00946,0.0107,0.01027,0.0,0.0004,0.01098,0.00483,0.00038
chr1,32143898,32195080,0.0695,0.061,0.01966,0.02952,0.00355,0.02131,0.20167,0.02173,0.00836,0.04177,0.01074,0.13084,0.138,0.08294,0.11194,0.0026,0.00562,0.00048,0.01298,0.00063,0.00763
chr1,33038438,33079425,0.1924,0.00861,0.01141,0.01041,0.0,0.00204,0.31504,0.1411,0.17596,0.19841,0.13578,0.04211,0.04852,0.00933,0.01648,0.0,0.0111,0.00341,0.01045,0.00254,0.00185
chr1,34463743,34520204,0.00909,0.0054,0.00217,0.09864,0.00105,0.06131,0.03258,0.00292,0.08838,0.01744,0.08469,0.01485,0.17627,0.00191,0.02852,0.08127,0.00659,0.08788,0.13098,0.20793,0.04858
chr1,34922323,34953716,0.02827,0.16305,0.00015,0.01206,0.00278,0.01817,0.32776,0.03078,0.0848,0.01516,0.0015,0.15046,0.09672,0.20737,0.24367,0.00933,0.0042,0.02193,0.0264,0.0504,0.00678
chr1,36097508,36132105,0.04365,0.2397,0.00968,0.00035,0.08453,0.01471,0.08745,0.01245,0.03918,0.00526,0.00466,0.15573,0.22917,0.04717,0.10391,0.00551,0.03791,0.00104,0.06767,0.00834,0.0222
chr1,37645504,37678848,0.00362,0.04119,0.03129,0.06259,0.00025,0.00764,0.08128,0.01345,0.05866,0.0025,0.00057,0.14256,0.2324,0.0542,0.07505,0.00716,0.02921,0.00773,0.06794,0.02275,0.00558
chr1,38614545,38639550,0.00463,0.06678,0.00155,0.05803,0.00045,0.00409,0.03393,0.00058,0.11795,0.00807,1e-05,0.04038,0.21296,0.07801,0.03238,0.0531,0.00339,0.00052,0.05404,0.05669,0.00679
chr1,39964142,40127874,0.01395,0.13943,0.00038,0.00015,7e-05,0.00388,0.24273,0.01425,0.01068,0.01214,0.00156,0.0984,0.13694,0.1045,0.12636,0.00079,0.0001,0.00596,0.00033,0.00185,0.00418
chr1,40134647,40168960,0.062,0.22104,0.01996,0.00528,0.09141,0.02973,0.08408,0.01002,0.05331,0.0037,0.0088,0.1145,0.22072,0.04286,0.12528,0.0057,0.02557,0.00024,0.06342,0.00949,0.02633
chr1,41383063,41388447,0.07987,0.02294,0.0087,0.03409,0.00458,0.0001,0.22514,0.04167,0.01322,0.14124,0.06942,0.06173,0.13526,0.00997,0.02404,0.00991,0.02834,0.00743,0.07336,0.02903,0.00617
chr1,44060434,44083331,0.00125,0.18659,0.0,0.00044,0.07133,0.00144,0.27992,0.0014,0.00025,0.09249,0.00375,0.20187,0.23667,0.03363,0.1082,0.0005,0.07715,0.00154,0.08126,0.00262,0.04132
chr1,45269220,45274976,0.00944,0.17037,0.00523,0.02131,8e-05,0.00186,0.09399,0.02927,0.00224,0.00789,0.00211,0.21947,0.07433,0.16287,0.13853,0.04734,0.00659,0.01125,0.0189,0.00855,0.0012
chr1,45761251,45887039,0.00019,0.15023,0.02208,0.04094,0.00019,0.00147,0.19443,0.01617,0.03941,0.0,0.0021,0.24271,0.30004,0.12088,0.1034,0.00435,0.01419,0.03412,0.02766,0.04817,0.00233
chr1,48117357,48141060,0.0228,0.03088,0.02462,0.10476,0.01826,0.00323,0.11376,0.08882,0.25289,0.08048,0.03423,0.00064,0.03382,0.00219,0.01192,0.0359,0.00046,0.00916,0.04615,0.05739,0.00538
chr1,48176563,48254581,0.00888,0.00395,0.02759,0.12115,0.18402,0.00046,0.00059,0.0628,0.08818,0.129,0.00311,0.04384,0.07111,0.11274,0.00127,0.23099,0.31203,0.02894,0.00553,0.07024,0.12363
chr1,49240024,49289190,0.04936,0.06686,0.01139,0.0046,0.02363,9e-05,0.23004,0.01633,0.09566,0.11686,0.03647,0.12836,0.03797,0.00939,0.04858,0.02891,0.06412,0.01186,0.00696,0.00252,0.01846
chr1,50830707,50914746,0.15104,0.04347,0.05158,0.02448,0.00072,0.00484,0.34631,0.04491,0.09963,0.18336,0.09085,0.1791,0.15365,0.03666,0.0659,0.00529,0.06716,0.02405,0.03683,0.00606,0.00925
chr1,51754200,51758567,0.02523,0.16358,0.01648,0.00346,0.00012,0.00697,0.22634,0.05364,0.0207,0.02871,0.03092,0.07929,0.18037,0.15503,0.09679,0.02709,0.01375,0.00166,0.00482,0.01348,0.0053
chr1,52048084,52071593,0.08795,0.0422,0.0164,0.01005,0.0004,0.00047,0.20269,0.03645,0.07084,0.07592,0.05651,0.09909,0.0938,0.04809,0.04291,0.00098,0.01105,0.00991,0.00606,0.00422,0.0
chr1,54503841,54533439,0.04636,0.16623,0.03084,0.00036,0.03798,0.01131,0.36253,0.00265,0.05653,0.15613,0.07518,0.28437,0.24875,0.06296,0.0749,0.02598,0.12807,0.07338,0.0525,0.01349,0.0059
chr1,56977607,57067586,0.0003,0.08222,4e-05,0.04051,0.00064,0.0104,0.08834,0.00012,0.05026,0.00157,0.00536,0.07619,0.24693,0.08376,0.03032,0.04205,0.00098,0.00932,0.0276,0.07838,0.01475
chr1,57823553,57896601,0.05962,0.00925,0.00688,0.10476,0.00249,2e-05,0.12373,0.10074,0.34721,0.0866,0.04136,0.00024,0.06804,0.00233,0.00765,0.0625,0.00109,0.0067,0.08246,0.07328,0.00249
chr1,60287760,60365236,0.03379,0.01288,0.00036,0.03427,0.06136,0.00095,0.0943,0.04766,1e-05,0.24672,0.02256,0.01135,0.09308,0.01671,0.01927,0.04813,0.06868,0.00278,0.23622,0.0234,0.07187
chr1,61525294,61533762,0.32092,0.15252,0.03362,0.1011,7e-05,0.01516,0.06244,0.16013,0.09112,0.38282,0.19374,0.04013,0.0044,0.18542,0.06628,0.01717,0.03727,0.00398,0.12549,0.03446,0.01565
chr1,62042086,62085609,0.16133,0.13604,0.03171,0.04658,0.0268,0.08178,0.00825,0.06918,0.03196,0.29305,0.29045,0.04555,0.01483,0.26664,0.29168,0.00462,0.11413,0.19075,0.12578,0.17145,0.01995
chr1,67343322,67356566,0.00152,0.09499,0.05707,0.00289,0.00055,0.00621,0.0667,0.06916,0.00962,0.00322,0.01063,0.2325,0.1198,0.09383,0.12967,0.03639,0.03766,0.02397,0.00065,0.00056,0.00245
chr1,69130234,69204800,0.00137,0.15178,0.04226,0.00794,0.00373,0.00532,0.18687,0.02492,0.0029,0.00908,0.00909,0.31216,0.22897,0.11589,0.08919,0.01188,0.07024,0.07239,0.02205,0.02084,0.00019
chr1,71595221,71647275,0.12548,0.01571,0.03683,0.01286,0.00397,3e-05,0.23621,0.0366,0.07261,0.19221,0.11204,0.09491,0.07651,0.00739,0.01028,0.00588,0.07031,0.03835,0.03951,0.01147,0.0026
chr1,73710205,73849873,0.01315,0.0884,0.00985,0.0024,0.03791,0.00303,0.20632,0.00067,0.03252,0.09681,0.003,0.16726,0.07493,0.01272,0.10246,0.02225,0.09148,0.00157,0.0212,0.00896,0.05799
chr1,76729704,76847127,0.12032,0.15828,0.03038,0.00402,0.01445,0.0082,0.45832,0.04439,0.13193,0.20151,0.15363,0.29158,0.28446,0.09237,0.09193,0.01453,0.0857,0.07009,0.0379,0.02121,0.00087
chr1,77461727,77559714,0.0211,0.10119,0.0311,0.08841,0.03135,0.03655,0.19847,0.00086,0.0178,0.0004,0.00289,0.15912,0.38015,0.19484,0.12943,0.00742,0.00017,0.00118,0.01224,0.00167,0.00213
chr1,80725577,80730691,0.03,0.00078,0.02114,0.18977,0.00345,0.00447,0.04006,0.0005,0.072,0.05383,0.00825,0.02476,0.19485,0.00094,0.00678,0.08664,0.03681,0.0061,0.2283,0.12971,0.0128
chr1,88471728,88473184,0.06032,0.06059,0.00049,0.31617,0.01291,0.00156,0.00101,0.06246,0.36549,0.07664,0.02303,0.0641,0.3934,0.0818,0.02296,0.30477,0.00898,0.00347,0.2193,0.31124,0.01922
chr1,91607052,91621003,0.00681,0.00026,0.10798,0.00156,0.06504,0.01146,0.01221,0.06414,0.00259,0.11631,0.02688,0.12824,0.00374,0.06166,0.00759,0.09101,0.3193,0.16381,0.09094,0.01737,0.01776
chr1,93289092,93349619,0.06345,0.04888,0.0386,0.01345,0.02033,7e-05,0.20281,0.01291,0.14575,0.02595,0.03635,0.17419,0.01186,0.13597,0.03893,0.10285,0.00342,0.02507,0.0725,0.01064,0.01241
chr1,93661116,93671835,0.11423,0.16784,0.27164,0.11461,0.11687,0.06532,0.00311,0.02658,3e-05,0.00096,0.0091,0.0136,0.00379,0.00831,0.0242,0.02913,0.04484,0.07731,0.00066,0.00878,0.00662
chr1,99760429,99856004,0.02588,0.05732,0.07182,0.02522,0.02125,0.01417,0.14664,0.00846,6e-05,0.00066,0.0015,0.2146,0.14732,0.13375,0.10026,0.01043,0.01583,0.01933,0.00037,0.00116,0.00038
chr1,106235391,106338109,0.01224,0.08254,0.00196,0.05469,0.00026,0.00027,0.01451,0.00385,0.08536,0.01502,0.00991,0.03788,0.22938,0.09067,0.04836,0.05876,0.00333,0.00296,0.04792,0.03076,1e-05
chr1,106837598,106849200,0.01193,0.18141,0.0035,0.00086,0.05068,0.04927,0.38083,0.04011,0.03934,0.14374,0.10699,0.21495,0.29073,0.08951,0.07106,0.00116,0.04252,0.03776,0.05959,0.04214,2e-05
chr1,108598620,108653379,3e-05,0.25083,0.0023,0.00077,0.0264,0.053,0.22219,0.00139,0.00118,0.01977,0.03554,0.23378,0.27752,0.12616,0.09274,0.00588,0.01574,0.03872,0.03344,0.05387,0.00394
chr1,111427963,111456626,0.0024,0.17666,0.0,0.00035,0.01634,0.0001,0.21382,0.00237,0.00516,0.02579,0.00239,0.1737,0.16388,0.07695,0.13477,0.00032,0.01626,0.0001,0.01073,5e-05,0.01228
chr1,112161740,112202356,0.53508,0.27652,0.2305,0.34456,0.46314,0.16745,0.1321,0.16376,0.08255,0.0325,0.16759,0.00403,0.00842,0.04897,0.01177,0.02299,0.08435,0.00305,0.01605,0.03444,0.1064
chr1,112930414,112968778,0.02317,0.19155,0.0109,0.00037,0.0015,0.00192,0.27438,0.05748,0.03661,0.01384,0.02903,0.13086,0.18002,0.21392,0.15359,0.00677,0.02,0.00349,0.00338,0.00051,0.00643
chr1,118384247,118416388,0.11397,0.00068,0.02677,0.0,0.0379,0.00018,0.09718,0.03058,0.10759,0.23232,0.08361,0.0172,0.00065,0.05076,8e-05,0.02169,0.09678,0.02056,0.04156,0.00013,0.02668
chr1,150152803,150260422,0.00294,0.23891,0.00304,0.00113,0.00928,2e-05,0.16823,1e-05,0.00804,0.00192,0.00154,0.18659,0.22334,0.14194,0.22407,0.00579,0.00191,0.00224,0.01213,0.00086,0.00776
chr1,153183695,153216776,0.00658,0.16324,0.0013,0.00126,0.00553,0.00115,0.23503,0.01366,0.00297,0.02204,0.00921,0.15046,0.22596,0.11197,0.10137,0.00528,0.00176,1e-05,0.01195,0.00362,0.00121
chr1,153226953,153291372,0.03179,0.05621,0.10329,0.04277,0.03463,0.04342,0.17015,0.01766,0.00079,0.00011,0.00058,0.29877,0.19485,0.17559,0.16258,0.01131,0.02137,0.00674,0.00141,2e-05,0.00142
chr1,153345649,153364424,0.00939,0.21405,0.10764,0.07258,0.02312,0.03033,0.19544,0.07035,0.06741,0.00469,0.00641,0.05684,0.08787,0.12752,0.11742,0.00464,0.03167,0.02687,0.01365,0.00846,0.00033
chr1,154534177,154595874,0.00381,0.16839,0.01609,0.01686,0.04464,0.0053,0.20133,0.02645,0.04962,0.06536,0.01119,0.07174,0.10306,0.05115,0.09053,0.00026,0.00452,0.00236,0.00877,0.00101,0.01339
chr1,156324576,156343901,0.07229,0.3812,0.08199,0.01094,0.004,0.00346,0.16355,0.00036,0.13051,0.10146,0.03481,0.1506,0.422,0.41269,0.30672,0.11283,0.1084,0.05292,0.00187,0.01845,0.01281
chr1,158785007,158820708,0.04543,0.09522,0.02137,0.01667,0.00111,0.02287,0.03209,0.00828,0.15056,0.09367,0.00649,0.04307,0.21332,0.1637,0.03737,0.07968,0.04117,0.0,0.01351,0.07637,0.04157
chr1,159272587,159273691,0.0501,0.05644,0.00094,0.00099,0.01452,0.0005,0.22514,0.06236,0.04123,0.1182,0.04861,0.04286,0.08111,0.01707,0.03681,0.00364,0.00806,5e-05,0.02288,0.00235,0.00845
chr1,159558951,159596279,0.07271,0.16047,1e-05,0.0445,0.04463,0.00803,0.26851,0.06276,0.19581,0.14551,0.06498,0.14551,0.06153,0.03945,0.06738,0.03568,0.04003,0.00743,0.00093,0.00422,0.00878
chr1,160091371,160131655,0.04206,0.07528,0.01766,0.00954,0.00926,0.03377,0.23645,0.00694,0.10157,0.01438,0.00086,0.15573,0.0341,0.13494,0.17412,0.04969,0.00134,0.00301,0.03687,0.06521,0.00796
chr1,160186716,160212735,0.01787,0.04139,0.02692,0.05593,1e-05,0.01599,0.14379,0.00039,0.02157,0.024,0.00039,0.15225,0.22422,0.05383,0.11323,0.01195,0.03237,0.00183,0.07449,0.01801,0.01783
chr1,160423330,160529738,0.00043,0.11782,0.00435,0.01208,0.00734,0.00458,0.15209,0.00684,0.01465,0.01075,0.0066,0.07079,0.20049,0.05924,0.0772,0.02584,0.00042,1e-05,0.03239,0.02616,0.00058
chr1,165094905,165105113,1e-05,0.26071,0.01296,0.0181,0.00383,0.00019,0.21761,0.00949,0.02738,0.00295,9e-05,0.17147,0.2993,0.21205,0.22027,0.04056,0.00295,0.00802,0.03131,0.00946,0.00148
chr1,166703570,166744540,0.07293,0.08222,0.00405,0.00348,0.008,0.00036,0.3233,0.04257,0.11757,0.129,0.06621,0.11129,0.06449,0.04576,0.05496,0.01367,0.02292,0.00662,0.00073,0.00128,0.00431
chr1,168297276,168334665,0.12857,0.04602,0.0,0.01404,0.07811,0.01486,0.03365,0.22881,0.05704,0.00988,0.08331,0.09804,0.00639,0.00628,0.0139,0.0292,0.12632,0.02853,0.02112,0.00049,0.04143
chr1,168823144,168833211,0.144,0.23802,0.03311,0.00772,0.0317,0.02458,0.53858,0.05119,0.12511,0.24169,0.19132,0.35744,0.35454,0.10604,0.09792,0.00931,0.11416,0.10212,0.06625,0.04653,0.00031
chr1,173396179,173521937,0.07409,0.1096,0.0022,0.00352,0.00405,0.00397,0.29262,0.05763,0.06868,0.05372,0.03285,0.14198,0.17134,0.15612,0.11693,0.00016,0.0003,0.00048,2e-05,9e-05,4e-05
chr1,178559862,178607923,0.06032,0.04575,0.00138,0.01877,0.00184,0.00577,0.2455,0.06187,0.17351,0.08608,0.02278,0.0783,0.00605,0.03103,0.06984,0.03686,0.0073,0.00227,0.00971,0.03656,0.01362
chr1,178714772,178847595,0.24463,0.01232,0.10181,0.20135,0.14176,0.04539,0.14616,0.04711,0.03392,0.03576,0.05738,0.03416,0.10555,0.05834,0.00804,0.01986,0.00325,0.00771,0.00902,0.03557,0.01858
chr1,179850577,179880388,0.02189,0.05089,0.0023,0.06889,0.00297,0.00052,0.11311,0.00938,0.00898,0.01182,0.01121,0.06564,0.21296,0.07801,0.05003,0.03622,1e-05,0.00052,0.05404,0.03407,0.00066
chr1,180221635,180247667,0.03722,0.0881,0.005,0.03952,0.04313,0.01889,0.01622,0.06005,0.13827,7e-05,0.00423,0.11905,0.21744,0.01592,0.02582,0.0177,0.07315,0.04346,0.14975,0.09634,0.00472
chr1,180499171,180508030,0.01503,0.05621,0.03646,0.06794,0.00658,0.00931,0.12832,0.00299,0.02648,0.03889,0.00057,0.17673,0.24307,0.02527,0.09196,0.00917,0.0729,0.00656,0.11069,0.0201,0.02937
