,chr,start,end,AFR-AMR,AFR-ARC,AFR-EA,AFR-OCN,AFR-SA,AFR-SIB,AFR-WEA,AMR-ARC,AMR-EA,AMR-OCN,AMR-SA,AMR-SIB,AMR-WEA,ARC-EA,ARC-OCN,ARC-SA,ARC-SIB,ARC-WEA,EA-OCN,EA-SA,EA-SIB,EA-WEA,OCN-SA,OCN-SIB,OCN-WEA,SA-SIB,SA-WEA,SIB-WEA
0,chr1,12048,177033,-0.01671,-0.05611,0.00136,-0.00089,-0.01521,-0.01584,-0.00927,-0.10043,-0.00209,-0.00443,-0.0217,-0.02407,-0.01276,-0.054,-0.10773,-0.0807,-0.09441,-0.03973,-0.01539,-0.00118,0.00248,0.01131,-0.00344,0.00136,0.00791,-0.0207,-0.01142,-0.01298
1,chr1,12048,89237,0.00232,0.03331,-0.00647,-0.01419,-0.00856,-0.01284,0.02311,0.22459,-0.00533,0.00926,-0.01512,-0.01468,0.01539,0.09763,0.06047,0.09629,0.08526,0.22943,-0.0075,-0.01624,-0.01794,0.01467,-0.01133,-0.01988,0.04805,-0.02033,-0.00442,0.00397
2,chr1,53897994,53905803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3,chr1,114813682,114821317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
4,chr1,203967055,203977106,0.00875,0.00122,0.01339,0.00875,0.01023,0.00902,0.01505,,,,,,,,,,,,,,,,,,,,,
5,chr1,228416,267160,-0.001,0.1182,0.00758,0.02245,-0.0007,0.07026,0.00707,0.20664,-0.01303,-0.00975,-0.01958,0.04675,0.04932,0.1167,0.15853,0.1256,0.07734,0.15226,-0.00884,-0.0157,0.02711,0.0767,-0.0137,0.00103,0.09143,0.02153,0.05037,0.15755
6,chr1,53999167,54002886,0.00875,0.00122,0.01339,0.00875,0.01023,0.00902,0.01505,,,,,,,,,,,,,,,,,,,,,
7,chr1,204380861,204383316,-0.00802,0.02241,0.00407,0.05931,0.05572,0.05023,0.18859,0.01324,-0.01701,0.00304,-0.00205,-0.00047,0.07136,0.00862,0.00476,0.00592,0.0,0.0,0.00833,0.00481,0.00431,0.07961,-0.02072,-0.02397,0.00823,-0.02177,0.02322,-0.0101
8,chr1,461963,471226,0.00341,0.02237,0.02284,0.00587,0.07954,-0.01536,0.01602,0.06908,-0.0146,-0.02489,0.00525,0.01059,-0.01284,0.04148,0.06907,0.10211,0.02631,0.0299,-0.01543,0.00147,0.0275,-0.00934,0.00139,0.0137,-0.01327,0.09427,0.00778,0.01881
9,chr1,471226,471326,,0.0,,,0.0,0.0,0.02209,0.0,,,-0.0,0.0,0.01429,0.0,0.0,-0.02941,-0.03604,-0.03448,,0.0,0.0,0.02328,-0.0,0.0,0.01429,-0.02128,-0.00596,-0.00907
10,chr1,318047,352288,0.00308,0.0224,0.0209,0.00229,0.07293,-0.01149,0.01535,0.0692,-0.01501,-0.02499,0.0015,0.02349,-0.01295,0.04163,0.06915,0.10248,0.02645,0.03016,-0.01473,0.0,0.03879,-0.00947,0.00275,0.02233,-0.01279,0.11185,0.00531,0.02888
11,chr1,318047,471226,-0.01635,0.02609,-0.00465,-0.01352,0.01078,-0.01297,0.00893,0.05128,-0.01037,-0.02237,0.00301,-0.02005,0.00109,0.03643,0.06184,0.07438,0.03866,0.0345,-0.01522,-0.00816,0.00295,-0.00654,-0.01033,-0.01068,-0.00754,0.02809,-0.0115,0.01843
12,chr1,115311978,115317878,,,0.01109,,0.0,-0.0,,,0.00746,,0.0,-0.0,,0.00101,,0.0,-0.0,,0.00746,-0.01339,-0.01563,0.01315,0.0,-0.0,,-0.02128,0.0,0.0
13,chr1,204570059,204572901,,,,,,,-0.0,,,,,,-0.0,,,,,0.0,,,,0.0,,,-0.0,,0.0,0.0
14,chr1,563872,572534,0.08034,0.07247,0.07136,0.05135,0.0625,-0.00535,0.04858,0.00477,-0.01533,-0.01789,-0.01778,0.14366,-0.0077,0.00562,0.02607,0.01863,0.37781,0.01118,-0.0114,-0.01168,0.09808,-0.006,-0.02148,0.12705,-0.01226,0.12761,-0.01105,0.07376
15,chr1,812525,834148,0.03072,-0.06241,0.00573,-0.00259,0.03397,-0.01682,0.02581,-0.10394,-0.00808,-0.01366,-0.02163,0.02033,-0.01235,-0.05764,-0.1124,-0.08064,-0.09726,-0.04024,-0.01545,-0.00579,-0.0027,-0.00484,-0.01013,-0.01153,-0.00725,0.02185,-0.01146,0.01286
16,chr1,826611,834148,0.03242,-0.09863,-0.00884,-0.0126,0.00425,0.01305,-0.00744,-0.33841,0.06929,0.10196,0.10079,-0.02056,0.01703,-0.11631,-0.22105,-0.11526,-0.18938,-0.08858,-0.01491,-0.00636,0.03944,0.00483,-0.00874,0.0435,-0.00147,0.06893,0.02471,0.00173
17,chr1,766955,768698,0.26963,0.0,0.07971,0.69046,0.00571,0.03755,-0.0102,0.04667,0.04226,0.13753,0.1698,0.09576,0.28917,0.0073,0.2314,0.0,0.00433,0.0,0.35102,0.02559,-0.00406,0.09159,0.57508,0.4685,0.71172,-0.01035,0.0045,0.03962
18,chr1,810543,811145,,,,,,,-0.0,,,,,,-0.0,,,,,0.0,,,,-0.0,,,-0.0,,-0.0,0.0
19,chr1,802690,805820,-0.00899,-0.07995,-0.00933,0.01605,-0.00944,0.10488,-0.00951,-0.16402,-0.0051,0.02062,-0.00781,0.09738,-0.00307,-0.09687,-0.1148,-0.0799,-0.08876,-0.06892,0.00442,-0.01517,0.09332,-0.00144,-0.01413,0.01343,0.02965,0.04692,-0.00262,0.12692
20,chr1,848625,851570,,,-0.00986,-0.0,0.02389,-0.0,,,-0.00658,0.0,0.01756,-0.0,,-0.00088,-0.0,0.00285,-0.0,,-0.00826,0.00638,-0.00373,-0.01173,-0.01766,0.01408,0.0,0.03006,0.02701,0.0
21,chr1,563872,712534,0.0253,-0.00104,0.08827,-0.00533,-0.00362,0.03836,-0.00254,0.00432,-0.01175,-0.01175,-0.00798,0.18355,0.00138,0.01374,-0.00389,-0.00241,0.0471,-0.0007,0.02441,0.03175,0.27077,0.04738,-0.02188,0.11454,-0.01311,0.11342,-0.01183,0.08137
22,chr1,521526,572534,0.05179,0.00518,0.00406,-0.00535,-0.01456,0.05656,0.00343,-0.00082,0.00345,0.01786,0.05964,0.27294,0.0101,-0.0006,-4e-05,0.00898,0.28369,8e-05,-0.01137,0.00288,0.11342,-0.00993,-0.00873,0.19687,-0.01056,0.07747,0.00202,0.1146
23,chr1,874277,878854,0.0,,,-0.0,,,,0.0,-0.0,0.01442,0.0,0.0,-0.0,,-0.0,,,,-0.0,,,,-0.0,-0.0,0.0,,,
