,chr,start,end,WestEurasia-SouthAsia,WestEurasia-Africa,WestEurasia-CentralAsiaSiberia,WestEurasia-Oceania,WestEurasia-America,WestEurasia-EastAsia,SouthAsia-Africa,SouthAsia-CentralAsiaSiberia,SouthAsia-Oceania,SouthAsia-America,SouthAsia-EastAsia,Africa-CentralAsiaSiberia,Africa-Oceania,Africa-America,Africa-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-America,CentralAsiaSiberia-EastAsia,Oceania-America,Oceania-EastAsia,America-EastAsia
0,1,228416,267160,-0.00859,-0.00031,0.01591,0.0183,-0.0071,-0.00845,-0.00453,0.01795,0.02308,-0.01259,-0.01163,-0.00421,0.05935,-0.01957,-0.00104,0.10048,-0.01725,0.02036,0.04087,0.01628,-0.00876
1,1,521526,568203,0.02206,0.01321,0.0138,0.00832,0.01129,-0.0013,-0.00887,-0.01224,-0.01711,-0.01568,-0.0028,-0.0112,-0.01644,-0.01315,-0.00824,-0.02167,-0.02248,-0.00514,-0.02187,-0.0084,-0.00554
2,1,563872,572534,0.01426,-0.00313,0.02836,-0.00279,-0.00171,-0.00303,-0.00185,-0.00644,-0.00733,-0.01057,-0.00202,0.01994,-0.0139,-0.01374,-0.01135,0.02218,0.01303,0.01813,-0.02249,-0.01324,-0.01307
3,1,899742,901754,,,0.0,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,
4,1,974768,978161,0.00481,0.00519,0.00373,0.01504,0.0049,-0.00791,,,0.04736,0.03058,0.0063,,0.04934,0.03181,0.0067,0.04093,0.02657,0.00509,-0.0228,-0.00024,-0.00646
5,1,982375,985198,0.00481,0.00519,-0.01092,-0.01177,-0.00166,0.00533,,0.0,-0.0,0.03146,,0.0,0.0,0.03272,,-0.0204,-0.0107,-0.0,-0.01434,-0.0,0.03317
6,1,1003197,1005012,,-0.0,-0.0,,0.0,,0.0,0.0,,-0.0,,-0.01422,0.0,-0.0156,-0.0,-0.0,-0.0206,0.0,-0.0,,-0.0
7,1,1009660,1015541,-0.00868,0.00113,0.01764,-0.00722,0.0428,-0.00845,-0.00257,0.02013,-0.01332,0.06212,-0.01175,-0.00567,-0.01392,0.02035,-0.0043,-0.00206,-0.00876,0.01326,0.03724,-0.01209,0.04396
8,1,1049963,1053875,0.00616,-0.00234,0.0004,-0.0069,-0.01151,-0.00829,0.03069,-0.01562,0.02463,0.0035,0.0072,0.01829,-0.01603,-0.01343,-0.00467,0.0136,-0.00442,-0.00048,-0.01962,-0.01033,-0.01636
9,1,1051484,1053875,0.00425,-0.00094,-0.00089,-0.00573,-0.01108,-0.00815,0.03069,-0.01562,0.02463,0.0035,0.0072,0.01829,-0.01603,-0.01343,-0.00467,0.0136,-0.00442,-0.00048,-0.01962,-0.01033,-0.01636
10,1,1218680,1220545,0.00476,0.00514,-0.01176,0.00338,0.00317,0.00528,,0.0,,,,-0.0,,,,-0.0,0.0,0.0,,,
11,1,1257233,1260387,-0.00505,-0.00715,-0.00983,-0.01018,0.00873,-0.00269,-0.00126,-0.0055,-0.0107,-0.0,-0.01204,-0.01442,-0.01269,0.01591,0.00218,-0.01887,0.01798,-0.00191,0.01648,-0.00742,-0.0
12,1,1277432,1280894,0.00478,-0.00823,0.00371,-0.00476,0.00318,-0.00808,-0.0,,0.0,,0.0,-0.0,-0.01043,-0.0,-0.01136,0.0,,0.0,0.0,-0.00994,0.0
13,1,1289021,1293474,-0.00571,0.00166,0.00077,-0.00042,-0.01087,-0.00265,0.01438,-0.01202,0.01307,-0.01158,0.00687,0.03071,-0.0153,-0.01021,-0.01063,0.03378,-0.00243,0.02121,-0.01399,-0.01364,-0.01309
14,1,1620732,1662311,0.01146,0.08519,0.0056,0.07498,-0.01004,0.04882,0.0134,0.05696,0.17206,-0.01115,-0.00332,0.15242,0.28417,0.0343,-0.00703,0.03337,0.01462,0.10278,0.12693,0.21884,0.01031
15,1,2125045,2127375,0.0,-0.0,-0.00766,0.0,-0.0,-0.0,,-0.0,,,,-0.0,,,,0.0,-0.0,-0.0,,,
16,1,2450341,2452574,,,,,,0.01393,,,,,0.01044,,,,0.01111,,,0.00845,,0.00784,0.00741
17,1,2562557,2571029,0.0,,,,,,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,,
18,1,2926023,2929779,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,,,,,,,,,,,,,,,
19,1,3567300,3569823,,-0.0,,-0.0,,,-0.0,,0.0,,,0.0,-0.01499,0.0,0.0,-0.0,,,0.0,-0.0,
20,1,4120597,4131559,0.02804,0.06753,0.01209,0.08339,0.02997,0.00925,-0.00533,-0.01265,0.00503,-0.01555,-0.00658,0.00363,-0.01099,-0.01204,0.01523,0.02275,-0.01501,-0.01306,-0.00627,0.03458,-0.00512
21,1,4283974,4285346,-0.0,-0.00551,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,-0.0,0.0,0.0,-0.0,,,,,,
22,1,4674257,4683107,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,,,,,,,,,,,,,,,
