,Chromosome,Start,End,AFR-AMR,AFR-EAS,AFR-EUR,AFR-SAS,AMR-EAS,AMR-EUR,AMR-SAS,EAS-EUR,EAS-SAS,EUR-SAS
4,chr1,151553,153659,0.15864,0.21971,0.17032,0.18792,0.02556,0.01965,0.02175,0.0,0.0,0.0
5,chr1,156352,344468,0.21819,0.07125,0.13836,0.16495,0.037,0.00489,0.0076,0.01257,0.01339,7e-05
12,chr1,878859,969390,0.22657,0.16643,0.34143,0.16634,0.01518,0.02553,0.00812,0.08516,0.00088,0.06765
19,chr1,1528634,1531464,0.28902,0.28314,0.24428,0.21469,0.00935,0.0,0.03102,0.00759,0.00914,0.02604
23,chr1,1879931,1881904,0.24342,0.16653,0.00416,0.10716,0.00618,0.18165,0.0262,0.10686,0.00608,0.06728
26,chr1,2803392,2804673,0.29587,0.2539,0.0766,0.05706,0.01055,0.1354,0.1716,0.08548,0.11891,0.00375
49,chr1,7039442,7040886,0.03551,0.25116,0.07121,0.07604,0.13025,0.00934,0.01072,0.06776,0.06988,3e-05
63,chr1,8485660,8491128,0.07711,0.05404,0.25577,0.03885,0.00591,0.05387,0.00812,0.1094,0.00042,0.11221
68,chr1,8945048,8947994,0.13923,0.18984,0.37715,0.16714,0.00899,0.06456,0.00068,0.02009,0.00503,0.05692
75,chr1,9730577,9731873,0.19195,0.22521,0.44178,0.29966,0.00054,0.04296,0.01944,0.03571,0.01489,0.00251
100,chr1,13000087,13017909,0.08339,0.22773,0.39095,0.10537,0.04633,0.17939,0.00194,0.05204,0.02915,0.15335
106,chr1,15042102,15045522,0.03652,0.19128,0.00093,0.02996,0.11778,0.06282,0.00021,0.30968,0.12835,0.05569
109,chr1,15462117,15500353,0.33174,0.58255,0.39737,0.39305,0.17489,0.0269,0.01848,0.09511,0.0851,0.00062
113,chr1,15956407,16560130,0.01094,0.23907,0.14296,0.04894,0.24115,0.13989,0.02459,0.01038,0.11941,0.05335
119,chr1,17163742,17165235,0.32263,0.42943,0.18512,0.38718,0.03095,0.03063,0.00775,0.10383,0.00831,0.06716
145,chr1,23719463,23721614,0.04054,0.39569,0.03712,0.02016,0.52455,0.0,0.09641,0.5196,0.23347,0.09326
149,chr1,24031550,24034861,0.05329,0.17494,0.25212,0.12921,0.07121,0.09622,0.02512,0.0001,0.01833,0.02175
155,chr1,25440061,25445004,0.14777,0.20504,0.19427,0.21371,0.01158,0.04044,0.04465,0.01538,0.01714,0.0
169,chr1,27300215,27352781,0.35645,0.00351,0.21153,0.10189,0.31346,0.04579,0.14466,0.17536,0.07065,0.03968
195,chr1,30249063,30254427,0.00114,0.14978,0.18767,0.17091,0.16351,0.20987,0.18895,0.01292,0.00494,0.00188
205,chr1,31347905,31363641,0.16145,0.16163,0.0708,0.05843,0.00043,0.31508,0.03191,0.31736,0.02744,0.20201
222,chr1,36822387,36823991,0.00689,0.20466,0.00021,0.0,0.13891,0.00453,0.00677,0.20062,0.20975,0.00023
236,chr1,39400914,39403956,0.13031,0.24853,0.19427,0.16553,0.06607,0.0513,0.01133,0.0,0.03307,0.02604
244,chr1,40425146,40432084,0.01091,3e-05,0.25493,0.01175,0.00881,0.1662,0.0,0.23478,0.00957,0.20174
263,chr1,45584263,45588109,0.20081,0.44646,0.29595,0.37476,0.09972,0.02679,0.06175,0.01924,0.00365,0.00623
266,chr1,46117408,46120172,0.13919,0.30709,0.19108,0.02663,0.04554,0.00243,0.04669,0.02796,0.16672,0.07861
298,chr1,53164916,53166486,0.20626,0.07748,0.11196,0.22581,0.05612,0.02862,0.00032,0.00448,0.05577,0.02856
323,chr1,61526628,61532736,0.20865,0.16456,0.17507,0.04377,0.00257,0.00817,0.09611,0.00154,0.06623,0.06202
325,chr1,62035915,62037305,0.15278,0.02165,0.07854,0.0142,0.20195,0.02307,0.08153,0.15982,0.06775,0.02667
326,chr1,62067703,62070089,0.17425,0.37336,0.02283,0.01786,0.1077,0.09603,0.10925,0.26045,0.28533,0.00026
350,chr1,73022493,73026799,0.1664,0.21799,0.14196,0.20267,0.01496,4e-05,0.03305,0.01414,0.00847,0.0375
378,chr1,80776625,80782817,0.09014,0.51972,0.02007,0.08858,0.33831,0.02567,0.00081,0.42976,0.27071,0.02924
387,chr1,82500675,82502286,0.21332,0.20061,0.21413,0.21605,0.00263,0.00129,0.00013,0.008,0.00427,0.00073
392,chr1,84086792,84090651,0.02702,0.04347,0.11925,0.0022,0.00137,0.21817,0.04003,0.25164,0.05775,0.10539
411,chr1,88853623,88856339,0.18283,0.06987,0.28144,0.19145,0.03557,0.01749,0.0,0.09673,0.03591,0.01896
416,chr1,91611087,91612359,0.00207,0.13033,0.03752,0.19413,0.15568,0.02266,0.15849,0.26419,0.48058,0.06504
422,chr1,93668531,93671415,0.16296,0.49554,0.25519,0.35455,0.15616,0.01285,0.06031,0.08209,0.02358,0.01867
451,chr1,103975398,103980677,0.15161,0.21564,0.16696,0.1843,0.02556,0.01965,0.02175,0.0,0.0,0.0
456,chr1,104754332,104755456,0.07384,0.04981,0.22812,0.0465,0.23931,0.10577,0.00205,0.44587,0.18242,0.1137
481,chr1,110130631,110134380,0.03206,0.00624,0.22011,0.17808,0.00979,0.10324,0.07098,0.16065,0.1228,0.00229
491,chr1,112164095,112177007,0.27887,0.25538,0.22455,0.36575,0.00702,0.02658,0.00029,0.00806,0.01182,0.04149
497,chr1,113012237,113014073,0.32096,0.11709,0.28615,0.17541,0.08809,0.01301,0.0486,0.04143,0.00684,0.01536
498,chr1,113356303,113357334,0.21062,0.46609,0.03737,0.04043,0.07902,0.10201,0.10645,0.30918,0.32451,6e-05
499,chr1,113508910,113514956,0.10822,0.27054,0.00072,0.01269,0.04937,0.08603,0.05283,0.21946,0.18129,0.00872
531,chr1,127413559,127419966,0.12299,0.2321,0.15507,0.04741,0.00736,0.00074,0.02935,0.01497,0.07858,0.02943
539,chr1,128011270,128020507,0.07361,0.32259,0.00665,0.21654,0.14412,0.04425,0.06309,0.27303,0.0219,0.19197
540,chr1,128032648,128078400,0.11857,0.29312,0.0169,0.20221,0.04848,0.04105,0.01406,0.16305,0.01067,0.10159
542,chr1,128082647,128096753,0.00917,0.09294,0.01743,0.0451,0.05718,0.07608,0.01992,0.24515,0.01033,0.1819
559,chr1,129573469,129642626,0.1841,0.1606,0.04248,0.20465,0.00244,0.03789,0.00403,0.02449,0.00011,0.02828
560,chr1,129644620,129783645,0.12881,0.35121,0.07483,0.32184,0.11747,0.00309,0.0667,0.12561,0.01318,0.08355
564,chr1,147848830,147851451,0.0412,0.16917,0.00045,0.31625,0.04103,0.0455,0.14681,0.16413,0.04477,0.32235
585,chr1,151439845,151444760,0.21086,0.19249,0.10537,0.23494,0.00189,0.02343,0.00496,0.01176,0.01198,0.04856
589,chr1,151924197,151934686,0.01091,0.05419,0.11506,0.01135,0.10067,0.05456,0.03925,0.29052,0.01515,0.18098
605,chr1,154828529,154833234,0.42598,0.46841,0.39113,0.42,0.01264,0.00969,0.01073,0.0,0.0,0.0
614,chr1,158034810,158037261,0.13842,0.27721,0.02098,0.10927,0.0573,0.0481,0.00099,0.15735,0.0646,0.03393
622,chr1,160102320,160107211,0.06984,0.01526,0.17634,0.23735,0.02049,0.03816,0.06949,0.1015,0.14955,0.00359
640,chr1,166553037,166557381,0.23224,0.26707,0.2099,0.15844,0.01264,0.00969,0.03229,0.0,0.06775,0.05376
642,chr1,167406787,167407961,0.06768,0.56339,0.24525,0.30236,0.34141,0.0723,0.1055,0.13634,0.11078,0.00275
